FACS/FAN I.D.,Sample ID,Sample Recovered,Date Collected,Time (GMT),Latitude (deg. N),Longitude (deg. E),Sample Type,Lab ID,Wt. percent in -2.00 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median, Inman Mean, Inman Sorting, Inman Skew 16-84, Inman Skew 05-95, Inman Kurtosis,Moment 1 Mean,Moment 2 Variance,Moment 3 Skewness,Moment 4 Kurtosis,
W-07-13_PS,T10_2,yes,9/19/2013,17:40:56,48.152369,-123.547410,grab, W0713PS_OS_34,65.96,2.25,0.00,0.00,0.00,0.04,0.17,0.31,0.49,0.80,1.29,2.06,3.06,3.94,4.23,3.89,3.10,2.14,1.33,0.76,0.41,0.22,0.13,0.10,0.09,0.10,0.10,0.11,0.12,0.14,0.17,0.20,0.22,0.23,0.22,0.21,0.19,0.18,0.16,0.14,0.12,0.11,0.10,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.01,0.00,0.00,0.00,68.21,28.24,2.50,1.05,3.55,-3.85,-3.70,-3.52,-3.24,-2.48,1.64,2.22,2.62,3.24,-2.48,-1.26,2.51,0.63,0.59,-2.48,-0.65,2.87,0.64,0.76,0.24,-0.74,6.49,1.49,4.87, 
W-07-13_PS,T10_3,yes,9/19/2013,17:36:28,48.151702,-123.547527,grab, W0713PS_OS_35,0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.32,0.81,1.73,3.25,6.06,10.56,15.12,17.34,15.79,11.24,6.56,3.50,1.97,1.19,0.67,0.31,0.15,0.13,0.14,0.14,0.13,0.12,0.13,0.16,0.19,0.21,0.21,0.20,0.19,0.17,0.16,0.14,0.12,0.11,0.11,0.10,0.10,0.09,0.08,0.06,0.04,0.03,0.02,0.01,0.00,0.00,0.00,0.00,96.25,2.74,1.01,3.75,1.18,1.43,1.61,1.79,2.18,2.59,2.81,3.07,3.62,2.18,2.20,0.67,0.11,1.26,2.18,2.21,0.60,0.05,0.36,1.03,2.33,1.27,3.47,20.17, 
W-07-13_PS,T10_4,yes,9/19/2013,17:33:42,48.151062,-123.548279,grab, W0713PS_OS_36,0.00,0.00,0.00,0.00,0.00,0.05,0.22,0.41,0.82,1.53,2.36,3.78,6.48,9.97,12.95,14.13,13.05,10.08,6.72,4.03,2.27,1.24,0.67,0.40,0.31,0.31,0.32,0.32,0.34,0.40,0.49,0.56,0.60,0.61,0.58,0.55,0.49,0.44,0.39,0.33,0.29,0.26,0.24,0.22,0.20,0.17,0.14,0.11,0.08,0.06,0.03,0.01,0.00,0.00,0.00,90.08,7.40,2.52,9.92,1.22,1.54,1.76,1.99,2.46,2.98,3.34,3.98,6.83,2.46,2.52,1.24,0.34,2.32,2.46,2.55,0.79,0.12,1.99,2.56,2.79,2.54,2.40,9.57, 
W-07-13_PS,T10_5,yes,9/19/2013,17:30:49,48.150764,-123.548084,grab, W0713PS_OS_37,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.18,0.41,0.83,0.95,1.16,2.19,3.91,5.99,8.29,10.61,11.84,11.45,9.66,6.96,4.32,2.40,1.30,0.84,0.68,0.66,0.67,0.68,0.75,0.91,1.05,1.13,1.15,1.11,1.05,0.95,0.86,0.76,0.65,0.57,0.50,0.44,0.40,0.37,0.33,0.30,0.24,0.18,0.12,0.07,0.02,0.00,0.00,0.00,78.87,16.19,4.95,21.13,1.68,2.01,2.26,2.53,3.08,3.78,4.97,6.77,7.98,3.08,3.44,1.63,0.47,2.07,3.08,3.61,1.36,0.39,1.29,1.33,3.60,3.56,1.67,5.50, 
W-07-13_PS,T11_3,yes,9/19/2013,21:27:40,48.151174,-123.545404,grab, W0713PS_OS_38,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.30,0.68,1.29,2.10,3.77,7.03,11.20,14.63,15.71,13.55,9.42,5.38,2.67,1.30,0.70,0.42,0.29,0.25,0.27,0.30,0.32,0.34,0.41,0.51,0.60,0.65,0.67,0.65,0.62,0.56,0.50,0.44,0.38,0.33,0.29,0.26,0.23,0.21,0.18,0.15,0.12,0.09,0.06,0.04,0.01,0.00,0.00,0.00,89.86,7.34,2.80,10.14,1.29,1.58,1.77,1.97,2.40,2.87,3.19,4.08,7.05,2.40,2.45,1.23,0.37,2.63,2.40,2.48,0.71,0.12,2.49,3.04,2.78,2.68,2.49,9.49, 
W-07-13_PS,T12_1,yes,9/19/2013,17:10:20,48.154077,-123.540267,grab, W0713PS_OS_39,23.22,24.34,5.54,4.93,5.65,5.90,5.75,4.96,4.25,3.58,2.57,1.65,1.26,0.95,0.71,0.61,0.44,0.31,0.29,0.23,0.18,0.16,0.13,0.12,0.13,0.12,0.11,0.11,0.11,0.10,0.12,0.13,0.14,0.13,0.12,0.12,0.12,0.10,0.09,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.03,0.02,0.01,0.00,0.00,0.00,0.00,47.56,49.91,1.91,0.63,2.54,-3.57,-3.14,-2.62,-0.62,-0.89,0.24,0.72,1.18,2.16,-0.89,-0.93,1.70,0.01,2.75,-0.89,-0.95,1.67,-0.04,0.11,0.72,-0.51,3.08,2.17,11.19, 
W-07-13_PS,T12_2,yes,9/19/2013,17:17:12,48.151510,-123.542246,grab, W0713PS_OS_40,0.00,0.00,0.00,0.00,0.00,0.06,0.43,0.92,1.73,3.25,5.71,9.39,13.75,16.92,16.73,12.98,7.62,3.44,1.30,0.56,0.35,0.24,0.15,0.12,0.12,0.14,0.15,0.16,0.18,0.20,0.24,0.27,0.29,0.29,0.28,0.27,0.24,0.22,0.19,0.17,0.15,0.14,0.13,0.12,0.11,0.09,0.07,0.05,0.04,0.02,0.01,0.00,0.00,0.00,0.00,95.41,3.32,1.27,4.59,0.92,1.18,1.37,1.57,1.97,2.37,2.57,2.78,3.63,1.97,1.97,0.71,0.11,1.40,1.97,1.97,0.60,-0.01,0.50,1.27,2.15,1.61,3.40,17.74, 
W-07-13_PS,T12_3,yes,9/19/2013,17:17:12,48.151510,-123.542246,grab, W0713PS_OS_41,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.03,0.09,0.07,0.03,0.09,0.23,0.42,0.73,1.23,1.75,2.22,2.74,3.40,4.14,4.77,5.24,5.40,5.25,4.89,4.43,4.06,3.90,4.04,4.13,4.12,3.97,3.72,3.45,3.07,2.75,2.42,2.04,1.77,1.53,1.35,1.22,1.12,1.01,0.95,0.79,0.64,0.44,0.26,0.06,0.00,0.00,0.00,17.21,67.18,15.60,82.79,3.04,3.53,3.93,4.40,5.67,7.24,7.96,8.66,9.56,5.67,5.86,2.00,0.16,0.94,5.67,5.95,2.01,0.14,0.31,0.62,5.90,3.90,0.38,2.60, 
W-07-13_PS,T12_4,yes,9/19/2013,17:23:51,48.149833,-123.543820,grab, W0713PS_OS_42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.24,0.67,0.76,0.94,2.12,4.37,7.49,11.09,14.13,14.69,12.78,9.41,6.02,3.45,1.87,1.02,0.63,0.46,0.37,0.33,0.32,0.35,0.42,0.49,0.53,0.54,0.53,0.50,0.45,0.41,0.37,0.32,0.29,0.26,0.25,0.23,0.22,0.18,0.15,0.11,0.09,0.06,0.03,0.01,0.00,0.00,0.00,88.20,9.22,2.57,11.80,1.77,2.04,2.24,2.45,2.89,3.40,3.72,4.24,6.75,2.89,2.95,1.13,0.33,2.15,2.89,2.98,0.74,0.11,1.84,2.36,3.19,2.13,2.48,10.42, 
W-07-13_PS,T12_5,yes,9/19/2013,17:26:32,48.149417,-123.543947,grab, W0713PS_OS_43,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.05,0.15,0.49,0.44,0.38,1.00,2.30,4.28,7.25,11.03,14.00,14.85,12.99,9.37,5.53,2.71,1.26,0.73,0.56,0.49,0.45,0.43,0.46,0.56,0.65,0.71,0.72,0.71,0.68,0.62,0.57,0.51,0.43,0.38,0.34,0.31,0.29,0.27,0.25,0.24,0.19,0.14,0.09,0.05,0.01,0.00,0.00,0.00,84.19,12.32,3.49,15.81,2.01,2.29,2.49,2.71,3.15,3.65,3.99,5.29,7.38,3.15,3.21,1.19,0.35,2.33,3.15,3.24,0.75,0.12,2.06,2.58,3.50,2.47,2.24,8.60, 
