Survey_Date,Longitude,Latitude,X,Y,Ellip_Ht_m,Ortho_Ht_m
01/27/2015,-123.562267,48.144418,296975.670,130839.190,-19.010,1.100
01/27/2015,-123.562281,48.144438,296974.680,130841.470,-19.100,1.010
01/27/2015,-123.562294,48.144458,296973.760,130843.710,-19.150,0.960
01/27/2015,-123.562310,48.144478,296972.670,130845.990,-19.140,0.970
01/27/2015,-123.562328,48.144498,296971.460,130848.280,-19.010,1.100
01/27/2015,-123.562345,48.144519,296970.260,130850.590,-19.070,1.040
01/27/2015,-123.562363,48.144538,296968.960,130852.840,-19.180,0.930
01/27/2015,-123.562381,48.144559,296967.720,130855.140,-19.250,0.860
01/27/2015,-123.562399,48.144578,296966.460,130857.390,-19.380,0.730
01/27/2015,-123.562418,48.144598,296965.120,130859.630,-19.350,0.760
01/27/2015,-123.562436,48.144618,296963.830,130861.850,-19.400,0.710
01/27/2015,-123.562455,48.144637,296962.510,130863.990,-19.410,0.700
01/27/2015,-123.562476,48.144655,296961.010,130866.150,-19.500,0.610
01/27/2015,-123.562495,48.144675,296959.700,130868.380,-19.370,0.740
01/27/2015,-123.562515,48.144694,296958.300,130870.550,-19.290,0.820
01/27/2015,-123.562552,48.144732,296955.670,130874.850,-19.140,0.970
01/27/2015,-123.562572,48.144753,296954.300,130877.220,-18.960,1.150
01/27/2015,-123.562591,48.144774,296952.970,130879.590,-18.940,1.170
01/27/2015,-123.562607,48.144795,296951.860,130881.960,-18.840,1.270
01/27/2015,-123.562627,48.144817,296950.470,130884.470,-18.700,1.410
01/27/2015,-123.562646,48.144838,296949.140,130886.890,-18.690,1.420
01/27/2015,-123.562663,48.144859,296947.940,130889.290,-18.660,1.450
01/27/2015,-123.562683,48.144880,296946.560,130891.650,-18.630,1.480
01/27/2015,-123.562701,48.144901,296945.250,130894.040,-18.690,1.420
01/27/2015,-123.562720,48.144922,296943.920,130896.380,-18.680,1.430
01/27/2015,-123.562738,48.144942,296942.710,130898.700,-18.630,1.480
01/27/2015,-123.562755,48.144962,296941.500,130900.960,-18.610,1.500
01/27/2015,-123.562774,48.144982,296940.130,130903.170,-18.640,1.470
01/27/2015,-123.562794,48.145001,296938.780,130905.360,-18.570,1.540
01/27/2015,-123.562813,48.145020,296937.400,130907.540,-18.580,1.530
01/27/2015,-123.562834,48.145039,296935.960,130909.660,-18.530,1.580
01/27/2015,-123.562854,48.145057,296934.530,130911.810,-18.520,1.590
01/27/2015,-123.562875,48.145076,296933.040,130913.920,-18.510,1.600
01/27/2015,-123.562895,48.145095,296931.620,130916.080,-18.540,1.570
01/27/2015,-123.562914,48.145113,296930.260,130918.120,-18.530,1.580
01/27/2015,-123.562934,48.145130,296928.860,130920.130,-18.480,1.630
01/27/2015,-123.562952,48.145148,296927.570,130922.150,-18.450,1.660
01/27/2015,-123.562973,48.145166,296926.120,130924.160,-18.460,1.650
01/27/2015,-123.562993,48.145184,296924.710,130926.220,-18.460,1.650
01/27/2015,-123.563012,48.145202,296923.320,130928.280,-18.400,1.710
01/27/2015,-123.563032,48.145219,296921.920,130930.280,-18.460,1.650
01/27/2015,-123.563050,48.145236,296920.640,130932.190,-18.450,1.660
01/27/2015,-123.563068,48.145253,296919.400,130934.060,-18.450,1.660
01/27/2015,-123.563084,48.145269,296918.260,130935.970,-18.420,1.690
01/27/2015,-123.563101,48.145287,296917.040,130937.920,-18.430,1.680
01/27/2015,-123.563119,48.145304,296915.750,130939.870,-18.410,1.700
01/27/2015,-123.563136,48.145322,296914.620,130941.920,-18.400,1.710
01/27/2015,-123.563154,48.145340,296913.320,130943.980,-18.430,1.680
01/27/2015,-123.563171,48.145357,296912.100,130945.970,-18.410,1.700
01/27/2015,-123.563188,48.145375,296910.950,130947.930,-18.420,1.690
01/27/2015,-123.563206,48.145392,296909.620,130949.960,-18.470,1.640
01/27/2015,-123.563223,48.145410,296908.440,130951.990,-18.380,1.730
01/27/2015,-123.563240,48.145429,296907.260,130954.090,-18.470,1.640
01/27/2015,-123.563258,48.145447,296905.980,130956.170,-18.440,1.670
01/27/2015,-123.563275,48.145466,296904.820,130958.300,-18.400,1.710
01/27/2015,-123.563293,48.145485,296903.550,130960.490,-18.560,1.550
01/27/2015,-123.563311,48.145504,296902.280,130962.640,-18.470,1.640
01/27/2015,-123.563328,48.145523,296901.110,130964.830,-18.510,1.600
01/27/2015,-123.563345,48.145542,296899.900,130966.930,-18.580,1.530
01/27/2015,-123.563363,48.145560,296898.660,130968.980,-18.580,1.530
01/27/2015,-123.563380,48.145579,296897.450,130971.110,-18.570,1.540
01/27/2015,-123.563397,48.145597,296896.270,130973.220,-18.710,1.400
01/27/2015,-123.563413,48.145616,296895.170,130975.330,-18.790,1.320
01/27/2015,-123.563429,48.145635,296894.060,130977.490,-18.890,1.220
01/27/2015,-123.563446,48.145654,296892.860,130979.670,-18.980,1.130
01/27/2015,-123.563461,48.145673,296891.780,130981.860,-19.060,1.050
01/27/2015,-123.563477,48.145692,296890.700,130984.020,-19.250,0.860
01/27/2015,-123.563492,48.145711,296889.640,130986.130,-19.190,0.920
01/27/2015,-123.563507,48.145730,296888.600,130988.230,-19.240,0.870
01/27/2015,-123.563523,48.145748,296887.470,130990.330,-19.130,0.980
01/27/2015,-123.563539,48.145766,296886.380,130992.390,-19.150,0.960
01/27/2015,-123.563554,48.145784,296885.330,130994.410,-19.060,1.050
01/27/2015,-123.563569,48.145802,296884.260,130996.420,-19.100,1.010
01/27/2015,-123.563584,48.145819,296883.200,130998.350,-19.070,1.040
01/27/2015,-123.563600,48.145836,296882.130,131000.310,-19.000,1.110
01/27/2015,-123.563615,48.145853,296881.070,131002.220,-19.050,1.060
01/27/2015,-123.563628,48.145869,296880.140,131003.990,-18.990,1.120
01/27/2015,-123.563641,48.145885,296879.220,131005.800,-18.840,1.270
01/27/2015,-123.563655,48.145901,296878.270,131007.620,-18.960,1.150
01/27/2015,-123.563668,48.145916,296877.390,131009.360,-19.020,1.090
01/27/2015,-123.563680,48.145931,296876.560,131011.080,-18.970,1.140
01/27/2015,-123.563692,48.145947,296875.730,131012.840,-18.850,1.260
01/27/2015,-123.563703,48.145962,296874.910,131014.610,-18.970,1.140
01/27/2015,-123.563717,48.145978,296873.980,131016.370,-18.990,1.120
01/27/2015,-123.563741,48.146008,296872.280,131019.750,-18.930,1.180
01/27/2015,-123.563764,48.146038,296870.730,131023.130,-18.900,1.210
01/27/2015,-123.563773,48.146053,296870.110,131024.860,-18.830,1.280
01/27/2015,-123.563783,48.146068,296869.410,131026.610,-18.910,1.200
01/27/2015,-123.563794,48.146084,296868.630,131028.340,-18.890,1.220
01/27/2015,-123.563804,48.146100,296867.970,131030.160,-18.810,1.300
01/27/2015,-123.563816,48.146117,296867.120,131032.060,-18.870,1.240
01/27/2015,-123.563827,48.146133,296866.360,131033.870,-18.820,1.290
