Survey_Date,Longitude,Latitude,X,Y,Ellip_Ht_m,Ortho_Ht_m
07/17/2016,-123.562260,48.144391,296976.050,130836.170,-18.840,1.270
07/17/2016,-123.562272,48.144398,296975.200,130837.050,-18.870,1.240
07/17/2016,-123.562284,48.144405,296974.300,130837.850,-18.840,1.270
07/17/2016,-123.562295,48.144413,296973.520,130838.770,-18.820,1.290
07/17/2016,-123.562307,48.144420,296972.700,130839.540,-18.910,1.200
07/17/2016,-123.562317,48.144427,296971.960,130840.340,-18.860,1.250
07/17/2016,-123.562326,48.144433,296971.300,130841.060,-18.830,1.280
07/17/2016,-123.562334,48.144440,296970.750,130841.860,-18.810,1.300
07/17/2016,-123.562342,48.144450,296970.170,130842.960,-18.940,1.170
07/17/2016,-123.562350,48.144457,296969.610,130843.810,-18.860,1.250
07/17/2016,-123.562357,48.144463,296969.110,130844.420,-19.030,1.080
07/17/2016,-123.562365,48.144470,296968.580,130845.260,-19.060,1.050
07/17/2016,-123.562372,48.144477,296968.040,130846.050,-19.020,1.090
07/17/2016,-123.562382,48.144490,296967.340,130847.510,-19.020,1.090
07/17/2016,-123.562388,48.144496,296966.940,130848.180,-19.020,1.090
07/17/2016,-123.562391,48.144502,296966.750,130848.920,-19.000,1.110
07/17/2016,-123.562395,48.144510,296966.490,130849.750,-19.000,1.110
07/17/2016,-123.562400,48.144518,296966.170,130850.630,-18.990,1.120
07/17/2016,-123.562402,48.144525,296966.020,130851.470,-18.920,1.190
07/17/2016,-123.562405,48.144533,296965.820,130852.400,-18.980,1.130
07/17/2016,-123.562407,48.144542,296965.720,130853.380,-18.930,1.180
07/17/2016,-123.562408,48.144549,296965.660,130854.140,-18.940,1.170
07/17/2016,-123.562409,48.144556,296965.610,130854.930,-18.920,1.190
07/17/2016,-123.562410,48.144564,296965.590,130855.760,-18.920,1.190
07/17/2016,-123.562410,48.144571,296965.640,130856.560,-18.950,1.160
07/17/2016,-123.562409,48.144578,296965.700,130857.360,-18.910,1.200
07/17/2016,-123.562408,48.144585,296965.800,130858.140,-18.920,1.190
07/17/2016,-123.562402,48.144593,296966.330,130859.030,-18.900,1.210
07/17/2016,-123.562395,48.144601,296966.820,130859.860,-18.820,1.290
07/17/2016,-123.562390,48.144610,296967.230,130860.820,-18.790,1.320
07/17/2016,-123.562388,48.144616,296967.410,130861.570,-18.840,1.270
07/17/2016,-123.562380,48.144626,296968.040,130862.580,-18.980,1.130
07/17/2016,-123.562373,48.144636,296968.650,130863.730,-19.040,1.070
07/17/2016,-123.562366,48.144645,296969.150,130864.670,-19.080,1.030
07/17/2016,-123.562360,48.144653,296969.670,130865.610,-19.110,1.000
07/17/2016,-123.562352,48.144664,296970.330,130866.820,-19.140,0.970
07/17/2016,-123.562344,48.144676,296970.920,130868.070,-19.200,0.910
07/17/2016,-123.562336,48.144686,296971.540,130869.150,-19.360,0.750
07/17/2016,-123.562329,48.144697,296972.110,130870.430,-19.380,0.730
07/17/2016,-123.562323,48.144709,296972.660,130871.700,-19.430,0.680
07/17/2016,-123.562318,48.144722,296973.080,130873.090,-19.370,0.740
07/17/2016,-123.562313,48.144734,296973.440,130874.400,-19.350,0.760
07/17/2016,-123.562308,48.144744,296973.870,130875.570,-19.340,0.770
07/17/2016,-123.562304,48.144755,296974.230,130876.750,-19.300,0.810
07/17/2016,-123.562300,48.144766,296974.550,130878.000,-19.250,0.860
07/17/2016,-123.562296,48.144777,296974.930,130879.170,-19.290,0.820
07/17/2016,-123.562289,48.144787,296975.430,130880.280,-19.210,0.900
07/17/2016,-123.562284,48.144798,296975.840,130881.470,-19.220,0.890
07/17/2016,-123.562281,48.144809,296976.150,130882.730,-19.170,0.940
07/17/2016,-123.562277,48.144821,296976.460,130883.980,-19.250,0.860
07/17/2016,-123.562272,48.144832,296976.890,130885.180,-19.190,0.920
07/17/2016,-123.562268,48.144842,296977.230,130886.350,-19.140,0.970
07/17/2016,-123.562262,48.144852,296977.700,130887.480,-19.020,1.090
07/17/2016,-123.562257,48.144863,296978.140,130888.580,-19.090,1.020
07/17/2016,-123.562252,48.144873,296978.530,130889.770,-19.000,1.110
07/17/2016,-123.562248,48.144884,296978.880,130890.990,-19.020,1.090
07/17/2016,-123.562244,48.144895,296979.250,130892.130,-18.960,1.150
07/17/2016,-123.562239,48.144905,296979.630,130893.290,-18.990,1.120
07/17/2016,-123.562237,48.144918,296979.880,130894.640,-18.940,1.170
07/17/2016,-123.562234,48.144929,296980.140,130895.920,-18.950,1.160
07/17/2016,-123.562232,48.144941,296980.300,130897.200,-18.920,1.190
07/17/2016,-123.562230,48.144952,296980.470,130898.420,-18.930,1.180
07/17/2016,-123.562228,48.144963,296980.670,130899.620,-18.920,1.190
07/17/2016,-123.562227,48.144973,296980.790,130900.770,-18.920,1.190
07/17/2016,-123.562225,48.144984,296980.980,130901.950,-18.920,1.190
07/17/2016,-123.562223,48.144994,296981.160,130903.130,-18.960,1.150
07/17/2016,-123.562222,48.145004,296981.290,130904.240,-18.910,1.200
07/17/2016,-123.562220,48.145014,296981.480,130905.350,-18.930,1.180
07/17/2016,-123.562219,48.145024,296981.630,130906.400,-18.920,1.190
07/17/2016,-123.562217,48.145034,296981.780,130907.570,-18.940,1.170
07/17/2016,-123.562217,48.145044,296981.840,130908.680,-18.930,1.180
07/17/2016,-123.562217,48.145054,296981.860,130909.760,-18.950,1.160
07/17/2016,-123.562218,48.145064,296981.840,130910.830,-18.960,1.150
07/17/2016,-123.562220,48.145073,296981.750,130911.860,-18.970,1.140
07/17/2016,-123.562220,48.145081,296981.730,130912.810,-19.020,1.090
07/17/2016,-123.562217,48.145100,296982.030,130914.900,-19.000,1.110
