Survey_Date,Longitude,Latitude,X,Y,Ellip_Ht_m,Ortho_Ht_m
07/20/2017,-123.562272,48.145101,296977.930,130915.090,-19.450,0.660
07/20/2017,-123.562272,48.145105,296978.010,130915.580,-19.320,0.790
07/20/2017,-123.562269,48.145110,296978.250,130916.070,-19.520,0.590
07/20/2017,-123.562269,48.145115,296978.260,130916.710,-19.580,0.530
07/20/2017,-123.562266,48.145120,296978.500,130917.160,-19.370,0.740
07/20/2017,-123.562265,48.145124,296978.570,130917.680,-19.550,0.560
07/20/2017,-123.562264,48.145129,296978.650,130918.180,-19.320,0.790
07/20/2017,-123.562270,48.145132,296978.270,130918.560,-19.300,0.810
07/20/2017,-123.562255,48.145173,296979.540,130923.080,-19.370,0.740
07/20/2017,-123.562258,48.145178,296979.320,130923.670,-19.380,0.730
07/20/2017,-123.562259,48.145183,296979.250,130924.240,-19.380,0.730
07/20/2017,-123.562260,48.145190,296979.230,130924.920,-19.380,0.730
07/20/2017,-123.562260,48.145194,296979.190,130925.440,-19.410,0.700
07/20/2017,-123.562263,48.145200,296978.990,130926.070,-19.380,0.730
07/20/2017,-123.562267,48.145204,296978.760,130926.550,-19.340,0.770
07/20/2017,-123.562270,48.145209,296978.540,130927.070,-19.530,0.580
07/20/2017,-123.562274,48.145213,296978.260,130927.610,-19.580,0.530
07/20/2017,-123.562278,48.145219,296977.960,130928.200,-19.580,0.530
07/20/2017,-123.562282,48.145224,296977.670,130928.770,-19.360,0.750
07/20/2017,-123.562280,48.145230,296977.850,130929.490,-19.380,0.730
07/20/2017,-123.562279,48.145235,296978.000,130930.020,-19.380,0.730
07/20/2017,-123.562282,48.145241,296977.790,130930.720,-19.260,0.850
07/20/2017,-123.562284,48.145249,296977.650,130931.590,-19.500,0.610
07/20/2017,-123.562286,48.145256,296977.560,130932.370,-19.500,0.610
07/20/2017,-123.562291,48.145265,296977.230,130933.440,-19.520,0.590
07/20/2017,-123.562296,48.145293,296976.940,130936.510,-19.550,0.560
07/20/2017,-123.562296,48.145302,296976.940,130937.550,-19.550,0.560
07/20/2017,-123.562297,48.145311,296976.900,130938.560,-19.580,0.530
07/20/2017,-123.562298,48.145319,296976.900,130939.400,-19.690,0.420
07/20/2017,-123.562307,48.145334,296976.310,130941.060,-19.690,0.420
07/20/2017,-123.562314,48.145342,296975.780,130942.040,-19.630,0.480
07/20/2017,-123.562318,48.145352,296975.560,130943.130,-19.640,0.470
07/20/2017,-123.562316,48.145360,296975.680,130944.070,-19.650,0.460
07/20/2017,-123.562320,48.145369,296975.420,130945.020,-19.650,0.460
07/20/2017,-123.562323,48.145377,296975.260,130945.940,-19.630,0.480
07/20/2017,-123.562322,48.145382,296975.380,130946.470,-19.590,0.520
07/20/2017,-123.562330,48.145395,296974.840,130947.990,-19.640,0.470
07/20/2017,-123.562332,48.145400,296974.680,130948.520,-19.670,0.440
07/20/2017,-123.562335,48.145406,296974.470,130949.140,-19.940,0.170
07/20/2017,-123.562336,48.145411,296974.420,130949.690,-19.720,0.390
07/20/2017,-123.562333,48.145416,296974.660,130950.250,-19.700,0.410
07/20/2017,-123.562332,48.145421,296974.790,130950.880,-19.640,0.470
07/20/2017,-123.562330,48.145429,296974.950,130951.730,-19.610,0.500
07/20/2017,-123.562334,48.145445,296974.730,130953.510,-19.700,0.410
07/20/2017,-123.562337,48.145451,296974.510,130954.130,-19.690,0.420
07/20/2017,-123.562340,48.145456,296974.310,130954.760,-19.720,0.390
07/20/2017,-123.562343,48.145471,296974.150,130956.440,-19.630,0.480
07/20/2017,-123.562345,48.145477,296974.040,130957.040,-19.760,0.350
07/20/2017,-123.562347,48.145481,296973.860,130957.590,-19.640,0.470
07/20/2017,-123.562349,48.145487,296973.750,130958.220,-19.720,0.390
07/20/2017,-123.562348,48.145495,296973.830,130959.070,-19.550,0.560
07/20/2017,-123.562348,48.145502,296973.880,130959.910,-19.510,0.600
07/20/2017,-123.562348,48.145510,296973.890,130960.770,-19.380,0.730
07/20/2017,-123.562349,48.145516,296973.840,130961.440,-19.370,0.740
07/20/2017,-123.562352,48.145522,296973.640,130962.060,-19.290,0.820
07/20/2017,-123.562355,48.145528,296973.500,130962.820,-19.180,0.930
07/20/2017,-123.562357,48.145534,296973.340,130963.510,-19.240,0.870
07/20/2017,-123.562365,48.145546,296972.830,130964.810,-19.130,0.980
07/20/2017,-123.562368,48.145553,296972.600,130965.550,-19.070,1.040
07/20/2017,-123.562372,48.145559,296972.370,130966.320,-19.030,1.080
07/20/2017,-123.562375,48.145566,296972.130,130967.090,-19.040,1.070
07/20/2017,-123.562379,48.145573,296971.880,130967.870,-18.990,1.120
07/20/2017,-123.562382,48.145579,296971.640,130968.570,-19.050,1.060
07/20/2017,-123.562387,48.145586,296971.340,130969.290,-18.920,1.190
07/20/2017,-123.562391,48.145594,296971.080,130970.180,-18.960,1.150
07/20/2017,-123.562396,48.145600,296970.740,130970.920,-18.920,1.190
