FACS ID,Sample ID,Date Collected,Time_GMT,Latitude,Longitude,Sample Type,Lab ID,Wt. percent in -2.00 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median, Inman Mean, Inman Sorting, Inman Skew 16-84, Inman Skew 05-95, Inman Kurtosis,Moment 1 Mean,Moment 2 Variance,Moment 3 Skewness,Moment 4 Kurtosis
2018-648-FA,TW2_0,7/23/2018,18:43:00,48.143692,-123.575968,Grab,18-648FA_11,0,0,0,0.001013,0.038363,0.246102,0.622493,0.93374,1.259463,1.802336,2.070152,2.12082,2.395876,2.945986,3.886965,5.421483,7.527827,9.192635,9.699316,8.613571,6.268364,3.52505,1.498327,0.557349,0.289532,0.202672,0.144766,0.10492,0.269862,1.226889,1.927196,2.049095,2.174921,2.208316,2.166545,2.091688,1.915542,1.761591,1.581517,1.358191,1.193626,1.054737,0.943558,0.866912,0.816389,0.735847,0.703485,0.583653,0.464992,0.317312,0.178317,0.040699,0,0,0,68.571555,20.589211,10.839233,31.428445,1.013,1.6,2.11,2.548,3.246,6.276,7.323,8.132,9.174,3.246091,4.226218,2.539832,0.50835,0.897153,3.246091,4.716281,2.606705,0.564003,0.708626,0.565341,4.150397,6.376663,0.875971,2.752076
2018-648-FA,TW2_A,7/23/2018,18:46:00,48.144498,-123.576794,Grab,18-648FA_12,0,0,0,0,0,0.009688,0.043595,0.055359,0.076118,0.179916,0.138397,0.038751,0.207596,0.864983,2.214356,4.587869,7.957843,10.794986,12.178959,11.348575,8.58063,4.996141,2.179757,0.775025,0.366753,0.249115,0.179916,0.124558,0.123793,0.682073,1.943197,2.31769,2.45157,2.478102,2.421583,2.335689,2.143523,1.981115,1.794485,1.558332,1.390232,1.244049,1.1307,1.049494,0.995972,0.905463,0.872012,0.73252,0.596719,0.414704,0.234381,0.053713,0,0,0,64.273764,22.75346,12.972776,35.726236,2.335,2.562,2.742,2.957,3.485,6.683,7.628,8.44,9.455,3.485322,4.618195,2.300193,0.686208,0.783042,3.485322,5.184631,2.44288,0.695617,0.986266,0.457249,4.645723,5.692994,0.970721,2.638729
2018-648-FA,TW3_B,7/23/2018,18:56:00,48.147544,-123.573825,Grab,18-648FA_13,0,0,0,0,0,0.019713,0.224011,0.78852,1.765208,3.369129,5.58236,8.324257,11.200561,13.17186,13.261465,11.37977,8.162969,5.008891,2.804621,1.59496,0.958768,0.528666,0.224011,0.08602,0.065411,0.071684,0.071684,0.065774,0.123253,0.46045,0.731874,0.798981,0.858902,0.875393,0.857434,0.824947,0.753817,0.691666,0.622767,0.539626,0.48104,0.432635,0.393819,0.363849,0.337045,0.293043,0.26254,0.205902,0.164623,0.115341,0.065011,0.015728,0,0,0,88.14573,7.561302,4.292969,11.85427,0.935,1.187,1.392,1.621,2.109,2.68,3.151,6.237,7.743,2.108783,2.217312,1.471562,0.420083,2.633836,2.108783,2.271576,0.879901,0.185013,2.534768,2.868979,2.658624,3.941489,2.191424,7.257967
2018-648-FA,TW3_A,7/23/2018,19:00:00,48.146887,-123.573272,Grab,18-648FA_14,0,0,0,0,0,0.018231,0.14393,0.431791,0.978727,1.976645,3.444735,5.613287,8.62623,11.802295,14.009228,14.393043,12.47397,9.105998,5.680454,3.166469,1.640807,0.767629,0.316647,0.134335,0.105549,0.095954,0.088277,0.071965,0.06163,0.07414,0.214143,0.357923,0.379459,0.374515,0.365327,0.349367,0.319165,0.296871,0.270684,0.241417,0.225639,0.213262,0.206175,0.198359,0.188156,0.161963,0.136784,0.10101,0.080973,0.056966,0.032552,0.007324,0,0,0,94.27347,3.605266,2.121264,5.72653,1.124,1.401,1.613,1.84,2.304,2.779,3.042,3.349,5.209,2.304305,2.319505,0.976126,0.227089,1.781172,2.304305,2.327105,0.714506,0.031911,1.206971,1.858312,2.53173,2.053776,3.000356,14.078303
2018-648-FA,TW3_0,7/23/2018,19:06:00,48.146427,-123.572663,Grab,18-648FA_15,0,0,0,0,0,0.012794,0.053002,0.118797,0.274148,0.603125,0.740199,0.959518,1.919035,3.728411,6.378507,9.77794,13.341863,15.078132,14.164306,10.874532,6.652655,3.107009,1.151421,0.456913,0.292424,0.219318,0.15535,0.118797,0.099685,0.232676,0.550579,0.669191,0.720352,0.740013,0.729921,0.708508,0.653052,0.604668,0.549492,0.47962,0.432708,0.395649,0.369197,0.351443,0.340601,0.310929,0.295039,0.235569,0.174151,0.106228,0.058552,0.013983,0,0,0,87.783972,8.102868,4.11316,12.216028,1.779,2.076,2.287,2.51,2.955,3.43,3.724,5.151,7.641,2.954697,2.988568,1.247187,0.334813,2.608822,2.954697,3.005504,0.718035,0.070759,2.444526,3.081919,3.334648,2.840196,2.315642,8.53621
2018-648-FA,TW3_1,7/23/2018,19:09:00,48.146109,-123.571948,Grab,18-648FA_16,0,0,0,0,0,0.032058,0.141431,0.15086,0.179146,0.528011,0.575154,0.414865,0.726015,1.640604,3.366068,6.270126,10.560212,14.520291,16.500331,15.180305,11.03165,6.109837,2.574052,0.961734,0.509153,0.358293,0.245148,0.169718,0.13234,0.13605,0.343335,0.543482,0.554366,0.532981,0.513314,0.487112,0.443529,0.410218,0.370372,0.325136,0.295494,0.273429,0.261064,0.256883,0.259574,0.249939,0.251756,0.218075,0.181195,0.127443,0.072175,0.015675,0,0,0,87.926965,8.914825,3.15821,12.073035,2.061,2.36,2.558,2.758,3.171,3.595,3.836,4.198,7.006,3.17119,3.188478,1.068892,0.295846,2.422835,3.17119,3.197121,0.639264,0.040563,2.131665,2.867825,3.430667,2.162732,2.610575,11.323117
2018-648-FA,TW3_2,7/23/2018,19:13:00,48.145896,-123.571399,Grab,18-648FA_17,0,0,0,0,0,0.021022,0.087743,0.127959,0.237638,0.584955,0.530116,0.301618,0.511836,1.17905,2.540899,5.145778,9.414122,13.892686,16.726062,16.086268,11.790503,6.370528,2.48606,0.822593,0.420437,0.319897,0.228498,0.155379,0.119307,0.142203,0.445186,0.745877,0.778211,0.761019,0.743828,0.712261,0.652565,0.606797,0.547508,0.476469,0.428033,0.387473,0.36084,0.34545,0.3421,0.322821,0.321574,0.277459,0.228716,0.160679,0.091669,0.020308,0,0,0,85.548782,10.140117,4.311101,14.451218,2.168,2.458,2.647,2.839,3.233,3.661,3.937,5.537,7.717,3.232913,3.272364,1.163147,0.354013,2.767743,3.232913,3.29209,0.644837,0.091771,2.651435,3.302491,3.602241,2.672533,2.325481,8.792041
2018-648-FA,T3_0,7/23/2018,19:30:00,48.152729,-123.56478,Grab,18-648FA_18,80.833471,6.57769,0.643652,0.622488,0.631203,0.649877,0.729556,0.79554,0.891403,1.085619,1.282325,1.307225,1.106783,0.761925,0.453171,0.256465,0.168072,0.143172,0.122008,0.109558,0.090883,0.058514,0.027389,0.018675,0.02241,0.021165,0.01992,0.021165,0.021172,0.021672,0.028931,0.036408,0.038508,0.038537,0.038566,0.037089,0.033875,0.032079,0.028748,0.025185,0.023129,0.019914,0.018103,0.01742,0.01702,0.016211,0.016176,0.014125,0.011826,0.008312,0.004675,0.000998,0,0,87.41116,11.909438,0.45756,0.221841,0.679401,-3.876,-3.753,-3.604,-3.381,-2.763,-2.144,-0.679,0.015,1.3,-2.762889,-2.348569,1.515589,0.497329,1.714704,-2.762889,-2.141408,1.462716,0.424881,1.008098,0.769285,-1.6343,1.661503,3.811121,22.847959
2018-648-FA,T3_1,7/23/2018,19:34:00,48.151988,-123.564114,Grab,18-648FA_19,4.231378,2.359759,0.004731,0.435961,2.1427,4.591499,7.828738,11.40918,14.377422,15.861543,14.470179,10.481604,5.890105,2.810554,1.344985,0.640027,0.324651,0.139136,0.011131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001224,0.047368,0.112136,0.093447,0.061224,0.037701,0.031321,0.042921,0.055875,0.063415,0.055166,0.035316,0.007605,0,0,6.591137,92.764146,0,0.644717,0.644717,-0.633,-0.188,0.086,0.336,0.795,1.205,1.399,1.574,1.828,0.794539,0.760029,0.700949,-0.119556,1.160273,0.794539,0.742774,0.65638,-0.078864,-0.300317,0.87407,0.722996,1.282119,2.658437,29.323303
2018-648-FA,T4_0,7/23/2018,19:44:00,48.153253,-123.562346,Grab,18-648FA_20,21.809154,1.404915,0,0.00387,0.129004,0.811967,2.602847,4.902154,8.119668,12.445098,15.252834,14.114562,9.561478,4.651735,1.760526,0.774024,0.478074,0.189712,0.012142,0,0,0,0,0,0,0,0,0,0.000908,0.016203,0.052027,0.066473,0.073794,0.077308,0.077405,0.075844,0.070475,0.065595,0.059543,0.051539,0.045487,0.040118,0.03553,0.032016,0.029478,0.026062,0.024598,0.020303,0.016301,0.011323,0.006442,0.001464,0,0,23.214069,75.809695,0.576031,0.400205,0.976236,-3.541,-3.083,-2.533,0.129,0.963,1.386,1.562,1.719,1.954,0.96349,-0.002504,1.856301,-0.673611,1.79195,0.96349,-0.485501,2.047225,-0.707783,-0.858281,0.342242,0.459967,2.598213,0.287596,6.844462
