FACS/FAN I.D.,Sample ID,Sample Recovered,Date Collected,Time (GMT),Latitude (deg. N),Longitude (deg. E),Sample Type,Lab ID,Wt. percent in -2.00 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median, Inman Mean, Inman Sorting, Inman Skew 16-84, Inman Skew 05-95, Inman Kurtosis,Moment 1 Mean,Moment 2 Variance,Moment 3 Skewness,Moment 4 Kurtosis
2017-638-FA,TW2_0,Yes,7/20/2017,17:28:00,48.143577,-123.575906,Grab,17-638FA_11,0,0,0,0,0,0,0.001204,0.065797,0.312937,0.690065,0.577729,0.385153,0.930786,2.254748,4.180512,6.89263,10.431221,13.159386,13.640827,11.554583,7.783295,3.987936,1.500491,0.465393,0.297897,0.802846,1.250497,1.235631,1.188221,1.121726,1.098448,1.132839,1.16402,1.155625,1.117964,1.063324,0.966391,0.888473,0.807838,0.716582,0.661381,0.624023,0.598149,0.582955,0.574431,0.531767,0.510775,0.418414,0.320437,0.210424,0.11657,0.027661,0,0,0,76.848809,16.449784,6.701407,23.151191,1.988,2.277,2.492,2.717,3.189,3.88,5.841,7.165,8.567,3.189178,3.840782,1.833995,0.609355,2.317055,3.189178,4.166584,1.674367,0.583746,1.247456,0.964609,3.854573,4.002943,1.635688,5.058015
2017-638-FA,TW2_1,Yes,7/20/2017,17:33:00,48.143095,-123.575119,Grab,17-638FA_12,0,0,0,0,0,0,0,0,0,0,0,0.000052,0.084885,0.780944,2.257948,5.084627,9.84669,14.685149,16.892166,15.194461,10.440887,5.29684,1.926895,0.594197,0.297098,0.21479,0.264073,0.615504,0.803135,0.792645,0.878393,0.997979,1.084516,1.120842,1.104773,1.063113,0.971424,0.886829,0.7935,0.68301,0.605569,0.544501,0.499624,0.46924,0.451651,0.415993,0.405258,0.341524,0.278944,0.195078,0.110365,0.024887,0,0,0,80.564649,13.616207,5.819144,19.435351,2.372,2.56,2.714,2.882,3.256,3.743,5.326,6.966,8.261,3.25633,3.765567,1.545433,0.64223,2.803216,3.25633,4.020186,1.306282,0.584756,1.57724,1.254155,3.864096,3.285937,2.006568,6.287761
2017-638-FA,TW2_2,Yes,7/20/2017,17:35:00,48.142821,-123.574432,Grab,17-638FA_13,0,0,0,0,0,0,0,0,0,0,0,0.003779,0.258062,1.216579,2.940066,6.221142,11.612799,16.681878,18.433014,15.668062,10.138158,4.8018,1.695837,0.58064,0.342817,0.325216,0.520229,0.590562,0.467118,0.396007,0.452405,0.520309,0.552468,0.563155,0.546871,0.515669,0.464837,0.419125,0.372389,0.324116,0.295506,0.27963,0.272015,0.272388,0.276278,0.25914,0.248387,0.197727,0.140479,0.079943,0.043186,0.010208,0,0,0,87.97534,8.953267,3.071393,12.02466,2.283,2.485,2.638,2.798,3.156,3.547,3.791,4.387,7.009,3.156267,3.194994,1.004206,0.365607,2.585257,3.156267,3.214357,0.57644,0.100774,2.584097,3.098875,3.482293,2.019587,2.826031,11.586024
2017-638-FA,TW2_3,Yes,7/20/2017,17:38:00,48.142396,-123.573832,Grab,17-638FA_14,0,0,0,0,0,0,0.000655,0.032743,0.190999,0.618472,0.472949,0.118237,0.445664,1.446134,3.201504,6.484864,11.732784,16.280375,17.5537,14.643242,9.277085,4.465734,1.628037,0.563901,0.300141,0.217511,0.274465,0.460404,0.514483,0.49167,0.543801,0.624291,0.681928,0.703001,0.690248,0.658286,0.596145,0.537653,0.476397,0.406886,0.362941,0.33086,0.311566,0.302327,0.299504,0.277547,0.264764,0.210933,0.153475,0.090423,0.049382,0.011888,0,0,0,86.96514,9.485965,3.548895,13.03486,2.161,2.41,2.58,2.755,3.134,3.547,3.831,5.283,7.379,3.133689,3.181325,1.103286,0.370805,2.699724,3.133689,3.205142,0.625372,0.114258,2.617244,3.171885,3.491477,2.397768,2.445381,9.432997
2017-638-FA,TW3_D,Yes,7/20/2017,17:48:00,48.148524,-123.576185,Grab,17-638FA_15,0.838347,1.606812,0,0.00347,0.144048,0.589289,1.276793,2.108345,3.162517,4.35419,4.812526,4.491691,4.13157,4.190499,4.675025,5.323243,5.788127,5.644078,5.015504,4.02026,2.756563,1.486318,0.589363,0.247732,0.765278,1.547097,1.661468,1.680301,1.778842,1.821767,1.881447,1.97319,2.029595,2.010289,1.925546,1.814497,1.626495,1.468595,1.304152,1.114715,0.980182,0.872022,0.785652,0.719107,0.669115,0.588098,0.53901,0.434368,0.34629,0.240479,0.134668,0.031423,0,0,2.445159,63.974057,24.821503,8.759282,33.580784,0.327,0.768,1.105,1.599,2.863,5.793,6.95,7.787,8.854,2.862984,3.639513,2.753188,0.401883,0.833249,2.862984,4.027778,2.922524,0.398558,0.591115,0.458793,3.638642,7.584087,0.634997,2.603049
2017-638-FA,TW3_C,Yes,7/20/2017,17:53:00,48.147585,-123.574171,Grab,17-638FA_16,0,0,0,0,0,0.05523,0.477411,1.301178,2.789576,5.391933,8.780613,12.169293,14.415932,14.509542,12.262903,8.668281,5.214074,2.958074,1.731784,1.095236,0.673992,0.346357,0.149776,0.063655,0.042877,0.073195,0.195501,0.271085,0.271413,0.288048,0.356404,0.421625,0.466147,0.4856,0.478093,0.458359,0.418555,0.380632,0.342063,0.296586,0.265206,0.241026,0.220927,0.203664,0.188302,0.159498,0.138239,0.103986,0.082165,0.056449,0.031988,0.007527,0,0,0,92.84141,4.820965,2.337625,7.15859,0.774,1,1.185,1.389,1.833,2.331,2.649,3.141,6.514,1.833305,1.889341,1.235732,0.37281,2.497946,1.833305,1.917358,0.732112,0.11481,2.472819,2.920071,2.187894,2.646623,2.841269,11.757997
2017-638-FA,TW3_B,Yes,7/20/2017,17:59:00,48.146812,-123.573166,Grab,17-638FA_17,0,0,0,0,0,0.0465,0.329374,0.813746,1.782492,3.671546,6.32591,9.454958,12.593695,14.531186,14.337437,12.109322,8.592775,5.299039,3.003112,1.666243,0.900934,0.416561,0.145312,0.057156,0.058125,0.064906,0.056713,0.067327,0.170569,0.239231,0.217517,0.223598,0.256423,0.272115,0.268158,0.258325,0.230512,0.204946,0.179153,0.153214,0.140469,0.133373,0.129989,0.12741,0.121802,0.103414,0.084471,0.058883,0.046702,0.032475,0.018557,0.00433,0,0,0,95.874828,2.790931,1.334241,4.125172,0.915,1.152,1.342,1.558,2.008,2.48,2.733,3.009,3.618,2.008322,2.02776,0.757076,0.1165,1.201919,2.008322,2.037479,0.695059,0.041948,0.37149,0.944442,2.196485,1.663371,3.255311,17.148973
2017-638-FA,TW3_A,Yes,7/20/2017,17:59:00,48.146812,-123.573166,Grab,17-638FA_18,0,0,0,0,0,0.025275,0.155541,0.398574,0.991574,2.177574,3.713542,5.706412,8.496429,11.471151,13.707054,14.193119,12.540496,9.488003,6.231363,3.645493,1.934542,0.904082,0.349967,0.126377,0.079715,0.071938,0.062216,0.049921,0.058779,0.146582,0.213151,0.233615,0.257715,0.266077,0.258703,0.244657,0.218763,0.195668,0.174468,0.154139,0.145106,0.141839,0.140448,0.138019,0.131633,0.110448,0.087587,0.059677,0.04701,0.032765,0.018519,0.004274,0,0,0,95.780225,2.833844,1.385931,4.219775,1.101,1.376,1.596,1.832,2.309,2.787,3.036,3.296,3.782,2.308836,2.313598,0.766326,0.054423,1.14982,2.308836,2.315979,0.720312,0.009917,0.18409,0.860809,2.458081,1.573042,3.088,16.633261
2017-638-FA,TW3_0,Yes,7/20/2017,18:03:00,48.146252,-123.572269,Grab,17-638FA_19,0,0,0,0,0,0,0.000693,0.036832,0.210466,0.61386,0.570013,0.473549,1.210182,2.841296,5.086271,7.857412,11.049486,13.417233,14.118787,12.452595,8.857127,4.823188,1.911736,0.596321,0.271852,0.195385,0.252141,0.57311,0.719552,0.687434,0.744136,0.826121,0.8816,0.900392,0.880562,0.84107,0.765588,0.698004,0.624974,0.540705,0.484695,0.441671,0.412339,0.392838,0.381766,0.349462,0.332436,0.268026,0.198706,0.123589,0.068818,0.015976,0,0,0,83.618992,11.745006,4.636002,16.381008,1.946,2.212,2.422,2.65,3.122,3.642,4.047,6.382,7.867,3.122465,3.197026,1.303304,0.37019,2.446656,3.122465,3.234307,0.812505,0.13765,2.19598,2.643384,3.569229,3.082933,2.040532,7.045053
2017-638-FA,TW3_1,Yes,7/20/2017,18:05:00,48.146104,-123.571827,Grab,17-638FA_20,0,0,0,0,0,0,0,0,0,0,0,0.010558,0.351936,1.42534,3.105833,5.674965,9.502266,13.549528,16.101062,15.397191,11.437913,6.282054,2.437155,0.739065,0.344327,0.321255,0.544935,0.725734,0.663456,0.622851,0.70786,0.801927,0.857062,0.874704,0.851806,0.810235,0.733811,0.666916,0.593368,0.5122,0.453781,0.410578,0.379629,0.359497,0.35074,0.32565,0.318589,0.270687,0.22079,0.15512,0.088011,0.019613,0,0,0,82.838646,12.7031,4.458254,17.161354,2.256,2.483,2.661,2.853,3.255,3.716,4.115,6.268,7.795,3.254799,3.343342,1.202636,0.411062,2.629809,3.254799,3.387614,0.726969,0.182696,2.435735,2.809238,3.712491,2.73477,2.256703,7.884758
