FAN ID,Sample ID,Lab ID,Date Collected,Sample Recovered,Time (GMT),Latitude,Longitude,Sample Type,Wt. percent in -4.00 phi bin or 16 mm bin,Wt. percent in -3.75 phi or 13.5 mm bin,Wt. percent in -3.50 phi or 11.2 mm bin,Wt. percent in -3.25 phi or 9.51 mm bin,Wt. percent in -3.00 phi or 8 mm bin,Wt. percent in -2.75 phi or 6.73 mm bin,Wt. percent in -2.50 phi or 5.66 mm bin,Wt. percent in -2.25 phi or 4.76 mm bin,Wt. percent in -2.00 phi bin or 4 mm bin,Wt. percent in -1.75 phi or 3.36 mm bin,Wt. percent in -1.50 phi or 2.83 mm bin,Wt. percent in -1.25 phi or 2.38 mm bin,Wt. percent in -1.00 phi bin or 2 mm bin,Wt. percent in -0.75 phi bin or 1.68 mm bin,Wt. percent in -0.50 phi bin or 1.41 mm bin,Wt. percent in -0.25 phi bin or 1.19 mm bin,Wt. percent in 0.00 phi bin or 1 mm bin,Wt. percent in 0.25 phi bin or 0.8409 mm bin,Wt. percent in 0.50 phi bin or 0.7071 mm bin,Wt. percent in 0.75 phi bin or 0.5946 mm bin,Wt. percent in 1.00 phi bin or 0.5 mm bin,Wt. percent in 1.25 phi bin or 0.4204 mm bin,Wt. percent in 1.50 phi bin or 0.3536 mm bin,Wt. percent in 1.75 phi bin or 0.2973 mm bin,Wt. percent in 2.00 phi bin or 0.25 mm bin,Wt. percent in 2.25 phi bin or 0.2102 mm bin,Wt. percent in 2.50 phi bin or 0.1768 mm bin,Wt. percent in 2.75 phi bin or 0.1487 mm bin,Wt. percent in 3.00 phi bin or 0.125 mm bin,Wt. percent in 3.25 phi bin or 0.1051 mm bin,Wt. percent in 3.50 phi bin or 0.08839 mm bin,Wt. percent in 3.75 phi bin or 0.07433 mm bin,Wt. percent in 4.00 phi bin or 0.0625 mm bin,Wt. percent in 4.25 phi bin or 0.052556 mm bin,Wt. percent in 4.50 phi bin or 0.044194 mm bin,Wt. percent in 4.75 phi bin or 0.037163 mm bin,Wt. percent in 5.00 phi bin or 0.03125 mm bin,Wt. percent in 5.25 phi bin or 0.02628 mm bin,Wt. percent in 5.50 phi bin or 0.0221 mm bin,Wt. percent in 5.75 phi bin or 0.01858 mm bin,Wt. percent in 6.00 phi bin or 0.01563 mm bin,Wt. percent in 6.25 phi bin or 0.01314 mm bin,Wt. percent in 6.50 phi bin or 0.01105 mm bin,Wt. percent in 6.75 phi bin or 0.00929 mm bin,Wt. percent in 7.00 phi bin or 0.00781 mm bin,Wt. percent in 7.25 phi bin or 0.00657 mm bin,Wt. percent in 7.50 phi bin or 0.00552 mm bin,Wt. percent in 7.75 phi bin or 0.00465 mm bin,Wt. percent in 8.00 phi bin or 0.00391 mm bin,Wt. percent in 8.25 phi bin or 0.00329 mm bin,Wt. percent in 8.50 phi bin or 0.00276 mm bin,Wt. percent in 8.75 phi bin or 0.00232 mm bin,Wt. percent in 9.00 phi bin or 0.00195 mm bin,Wt. percent in 9.25 phi bin or 0.00164 mm bin,Wt. percent in 9.50 phi bin or 0.00138mm bin,Wt. percent in 9.75 phi bin or 0.00116 mm bin,Wt. percent in 9.99 phi bin or 0.00098 mm bin,Wt. percent in 10.25 phi bin or 0.00082 mm bin,Wt. percent in 10.50 phi bin or 0.00069 mm bin,Wt. percent in 10.75 phi bin or 0.00058 mm bin,Wt. percent in 10.99 phi bin or 0.00049 mm bin,Wt. percent in 11.25 phi bin or 0.0004 mm bin,Wt. percent in 11.48 phi bin or 0.00035 mm bin,Wt. percent in 12.02 phi bin or 0.000241 mm bin,Wt. percent in 13.02 phi bin or 0.00012 mm bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,Gravel to Sand Ratio,Sand to Silt Ratio,Silt to Clay Ratio,Sand to Clay Ratio,Sand to Mud Ratio,Gravel to Mud Ratio, D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, D95 mm, D90 mm, D84 mm, D75 mm, D50 mm, D25 mm, D16 mm, D10 mm, D5 mm, F-W Median Phi, F-W Mean Phi, F-W Sorting Phi, F-W Skewness Phi, F-W Kurtosis Phi, Inman Median Phi, Inman Mean Phi, Inman Sorting Phi, Inman Skew 16-84 Phi, Inman Skew 05-95 Phi, Inman Kurtosis Phi, Trask Median mm, Trask Mean mm, Trask Sorting mm, Trask Skewness mm, Trask Kurtosis mm, Mean Phi,Mean mm, Variance Phi, Std. Dev. Phi, Skewness Phi, Kurtosis Phi
2022-638-FA,T5_3,22-638FA_79,2022-08-09,yes,15:49:00,48.15116,-123.558558,Surface,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.79,0.87,1.98,2.41,2.67,6.03,9.03,12.05,8.30,9.24,9.17,8.66,7.72,6.36,4.80,3.29,2.01,1.09,0.54,0.28,0.15,0.09,0.06,0.05,0.04,0.03,0.04,0.05,0.06,0.06,0.06,0.08,0.09,0.11,0.12,0.13,0.13,0.13,0.12,0.11,0.10,0.09,0.08,0.07,0.07,0.07,0.07,0.05,0.04,0.02,0.01,0.01,0.01,0.00,0.00,0.00,6.37,91.58,1.36,0.69,2.05,0.070,67.420,1.976,133.223,44.765,3.113,-1.134,-0.693,-0.469,-0.228,0.405,1.113,1.436,1.728,2.158,0.2240,0.3018,0.3695,0.4623,0.7552,1.1715,1.3843,1.6168,2.1940,0.405,0.457,0.975,0.074,1.006,0.405,0.484,0.953,0.082,0.112,0.727,0.755,0.817,1.592,0.950,0.270,0.544,0.686,1.875,1.369,2.783,17.125
2022-638-FA,T5_4,22-638FA_80,2022-08-09,yes,15:52:00,48.150849,-123.558424,Surface,0.00,0.00,8.91,7.03,2.12,0.00,2.89,2.97,0.89,0.77,1.32,1.30,1.20,1.17,2.26,3.48,5.43,4.72,5.92,6.79,7.78,8.09,7.47,5.99,4.13,2.43,1.25,0.60,0.32,0.18,0.11,0.07,0.06,0.05,0.04,0.05,0.07,0.07,0.07,0.07,0.09,0.10,0.12,0.13,0.14,0.14,0.14,0.13,0.12,0.11,0.10,0.09,0.08,0.07,0.07,0.07,0.07,0.06,0.05,0.03,0.01,0.00,0.00,0.00,0.00,29.40,68.25,1.54,0.81,2.35,0.431,44.236,1.911,84.517,29.038,12.507,-2.351,-3.460,-3.244,-1.938,0.406,1.248,1.561,1.838,2.242,0.2114,0.2798,0.3390,0.4209,0.7547,3.8330,9.4718,11.0041,5.1022,0.406,-0.426,1.897,-0.360,0.591,0.406,-0.841,2.402,-0.519,-0.192,-0.044,0.755,2.127,3.018,2.833,0.159,-0.103,1.074,4.973,2.230,0.468,5.033
2022-638-FA,T5_5,22-638FA_81,2022-08-09,yes,15:55:00,48.150448,-123.558117,Surface,10.54,0.00,3.11,6.98,1.72,1.99,4.16,3.13,4.58,5.00,4.62,6.03,4.33,3.99,5.04,5.37,5.87,3.56,3.62,3.34,3.00,2.59,2.01,1.43,0.93,0.54,0.29,0.16,0.10,0.07,0.05,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.09,0.10,0.10,0.11,0.11,0.10,0.10,0.09,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.03,0.01,0.01,0.00,0.00,0.00,56.20,42.03,1.12,0.65,1.77,1.337,37.692,1.708,64.394,23.775,31.795,-4.000,-4.000,-3.387,-2.697,-1.321,-0.060,0.526,1.001,1.570,0.3369,0.4995,0.6942,1.0423,2.4978,6.4824,10.4619,16.0000,16.0000,-1.321,-1.394,1.822,-0.009,0.866,-1.321,-1.430,1.957,-0.056,0.054,0.423,2.498,3.762,2.494,1.083,0.175,-1.229,2.345,4.209,2.052,1.388,7.931
2022-638-FA,T6_5,22-638FA_82,2022-08-09,yes,15:59:00,48.150628,-123.556545,Surface,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.55,1.30,3.79,7.09,11.62,15.43,17.19,15.43,11.43,7.04,3.68,1.75,0.83,0.43,0.24,0.14,0.09,0.05,0.04,0.03,0.02,0.03,0.04,0.04,0.04,0.05,0.06,0.07,0.09,0.10,0.10,0.10,0.10,0.10,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.05,0.03,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,98.30,1.06,0.64,1.70,0.000,92.925,1.645,152.845,57.790,0.000,-0.020,0.170,0.330,0.509,0.902,1.303,1.500,1.711,2.035,0.2440,0.3054,0.3536,0.4054,0.5350,0.7027,0.7954,0.8891,1.0139,0.902,0.911,0.604,0.062,1.061,0.902,0.915,0.585,0.022,0.180,0.757,0.535,0.554,1.317,0.995,0.255,1.012,0.496,1.122,1.059,4.501,32.330
2022-638-FA,T6_4,22-638FA_83,2022-08-09,yes,16:02:00,48.151127,-123.556585,Surface,0.00,0.00,0.00,3.88,0.00,1.62,2.05,2.29,4.28,4.04,3.28,2.76,2.71,2.30,4.04,5.44,8.28,7.13,8.31,8.14,7.01,5.42,3.97,2.96,2.30,1.78,1.30,0.91,0.61,0.38,0.22,0.13,0.09,0.06,0.05,0.06,0.07,0.07,0.07,0.07,0.09,0.11,0.12,0.14,0.14,0.15,0.14,0.13,0.12,0.11,0.10,0.09,0.08,0.08,0.08,0.08,0.06,0.04,0.02,0.02,0.01,0.01,0.00,0.00,0.00,26.91,70.72,1.59,0.78,2.37,0.381,44.431,2.048,90.988,29.853,11.360,-2.067,-2.237,-1.880,-1.174,0.107,0.909,1.313,1.761,2.443,0.1839,0.2951,0.4025,0.5326,0.9285,2.2568,3.6811,4.7154,4.1912,0.107,-0.153,1.482,-0.104,0.887,0.107,-0.284,1.597,-0.245,0.051,0.413,0.928,1.395,2.059,1.394,0.195,0.019,0.987,3.472,1.863,1.278,8.212
2022-638-FA,T7_5,22-638FA_84,2022-08-09,yes,16:07:00,48.151052,-123.554542,Surface,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.12,0.11,0.50,2.07,6.38,11.20,10.89,12.42,12.06,10.35,8.53,6.93,5.48,4.00,2.54,1.39,0.71,0.41,0.25,0.15,0.08,0.06,0.04,0.03,0.05,0.06,0.07,0.07,0.09,0.11,0.15,0.17,0.19,0.20,0.21,0.20,0.19,0.17,0.16,0.14,0.12,0.11,0.11,0.10,0.09,0.08,0.06,0.04,0.03,0.02,0.01,0.00,0.00,0.00,0.50,96.41,2.01,1.08,3.09,0.005,48.017,1.856,89.110,31.203,0.163,-0.379,-0.234,-0.084,0.104,0.628,1.253,1.597,1.915,2.452,0.1827,0.2652,0.3306,0.4196,0.6469,0.9307,1.0601,1.1763,1.3009,0.628,0.714,0.849,0.220,1.010,0.628,0.756,0.841,0.152,0.485,0.684,0.647,0.675,1.489,0.933,0.280,0.885,0.542,2.049,1.431,3.433,18.691
2022-638-FA,T8_5,22-638FA_85,2022-08-09,yes,16:10:00,48.150894,-123.552501,Surface,29.67,2.55,11.08,6.53,12.39,5.84,3.53,2.10,1.63,0.67,0.58,0.39,0.35,0.60,1.44,3.08,4.99,3.08,2.80,2.06,1.31,0.86,0.60,0.42,0.28,0.18,0.11,0.07,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,77.32,22.04,0.44,0.19,0.64,3.508,49.629,2.289,113.603,34.540,121.165,-4.000,-4.000,-4.000,-4.000,-3.246,-2.053,-0.160,0.206,0.703,0.6141,0.8667,1.1175,4.1484,9.4846,16.0000,16.0000,16.0000,16.0000,-3.246,-2.469,1.673,0.643,0.990,-3.246,-2.080,1.920,0.607,0.832,0.225,9.485,10.074,1.964,0.738,0.392,-2.576,5.962,3.337,1.827,1.831,7.974
2022-638-FA,TW1_5,22-638FA_86,2022-08-10,yes,13:59:00,48.139647,-123.577413,Surface,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.82,1.27,1.62,2.94,2.64,4.12,5.93,8.10,9.81,10.84,11.31,11.22,10.09,7.91,5.05,2.55,0.99,0.32,0.13,0.09,0.06,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.08,0.09,0.10,0.11,0.11,0.10,0.10,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.04,0.03,0.02,0.02,0.01,0.00,0.00,0.00,0.43,97.76,1.10,0.71,1.81,0.004,88.865,1.555,138.221,54.090,0.238,-0.160,0.271,0.602,0.921,1.534,2.099,2.339,2.545,2.834,0.1403,0.1714,0.1976,0.2334,0.3452,0.5281,0.6586,0.8289,1.1169,1.534,1.492,0.888,-0.102,1.042,1.534,1.471,0.868,-0.073,-0.227,0.723,0.345,0.381,1.504,1.034,0.224,1.545,0.343,1.443,1.201,2.435,17.180
2022-638-FA,T2_5,22-638FA_87,2022-08-10,yes,14:18:00,48.141913,-123.573101,Surface,23.47,8.61,0.00,0.00,11.17,5.20,4.67,3.09,4.23,1.71,2.83,2.27,2.86,2.51,2.97,3.38,3.89,2.54,2.74,2.60,2.28,1.88,1.43,1.01,0.66,0.40,0.22,0.13,0.08,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,70.11,28.88,0.67,0.33,1.01,2.427,42.948,2.012,86.399,28.688,69.636,-4.000,-4.000,-4.000,-3.958,-2.666,-0.547,0.108,0.678,1.266,0.4159,0.6250,0.9278,1.4613,6.3475,15.5366,16.0000,16.0000,16.0000,-2.666,-2.186,1.825,0.422,0.633,-2.666,-1.946,2.054,0.351,0.632,0.282,6.348,8.499,3.261,0.563,0.458,-2.039,4.109,4.111,2.028,1.413,6.673
2022-638-FA,T2_4,22-638FA_88,2022-08-10,yes,14:22:00,48.142083,-123.573289,Surface,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.21,0.45,0.55,0.66,1.05,1.55,2.27,3.17,4.86,8.07,12.21,15.60,16.18,13.57,8.96,4.68,1.93,0.72,0.34,0.20,0.13,0.09,0.08,0.08,0.07,0.08,0.10,0.13,0.15,0.16,0.16,0.16,0.15,0.14,0.13,0.12,0.11,0.10,0.10,0.10,0.10,0.09,0.07,0.05,0.03,0.03,0.02,0.01,0.00,0.00,0.00,0.09,97.00,1.99,0.93,2.91,0.001,48.822,2.146,104.782,33.304,0.030,0.807,1.251,1.544,1.801,2.240,2.650,2.847,3.029,3.361,0.0973,0.1225,0.1390,0.1593,0.2117,0.2871,0.3429,0.4202,0.5714,2.240,2.210,0.713,-0.095,1.232,2.240,2.195,0.651,-0.068,-0.239,0.960,0.212,0.223,1.342,1.020,0.215,2.278,0.206,1.281,1.132,2.807,18.698
2022-638-FA,TW3_3,22-638FA_89,2022-08-10,yes,14:31:00,48.145553,-123.571004,Surface,0.00,7.56,0.00,0.00,15.38,6.84,4.06,5.69,7.10,3.93,3.97,5.39,5.55,4.31,6.14,6.16,6.09,2.93,2.78,2.17,1.44,0.87,0.48,0.25,0.14,0.08,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,65.47,34.01,0.35,0.18,0.53,1.925,98.473,1.906,187.673,64.585,124.329,-3.835,-1.640,-2.003,-2.926,-1.787,-0.533,-0.170,0.152,0.626,0.6482,0.9002,1.1250,1.4465,3.4511,7.5983,4.0087,3.1171,14.2671,-1.787,-1.320,1.134,0.423,0.764,-1.787,-1.087,0.917,0.764,0.199,1.433,3.451,4.522,2.292,0.923,1.387,-1.636,3.108,2.298,1.516,1.311,9.197
2022-638-FA,TW3_4,22-638FA_90,2022-08-10,yes,14:36:00,48.145307,-123.570458,Surface,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.91,0.00,0.00,0.75,0.38,1.34,4.20,9.76,17.86,23.23,11.28,9.91,7.04,4.23,2.51,1.56,1.01,0.64,0.37,0.20,0.11,0.07,0.05,0.03,0.03,0.02,0.02,0.02,0.03,0.04,0.04,0.04,0.05,0.06,0.07,0.08,0.09,0.10,0.10,0.09,0.09,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.00,0.00,0.00,4.37,94.11,1.00,0.52,1.52,0.046,94.070,1.919,180.552,61.847,2.869,-0.934,-0.696,-0.535,-0.386,-0.091,0.360,0.619,0.886,1.345,0.3937,0.5411,0.6511,0.7793,1.0652,1.3068,1.4489,1.6203,1.9104,-0.091,-0.002,0.634,0.246,1.252,-0.091,0.042,0.577,0.231,0.514,0.974,1.065,1.043,1.295,0.898,0.244,0.074,0.950,1.355,1.164,4.216,31.229
2022-638-FA,TW3_5,22-638FA_91,2022-08-10,yes,14:41:00,48.144985,-123.569775,Surface,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.26,0.31,1.01,1.97,5.46,9.83,10.33,13.01,14.16,13.36,10.78,7.47,4.35,2.14,0.93,0.40,0.21,0.12,0.07,0.04,0.03,0.03,0.02,0.02,0.04,0.06,0.06,0.07,0.08,0.10,0.13,0.15,0.17,0.18,0.18,0.17,0.16,0.15,0.14,0.12,0.11,0.11,0.10,0.09,0.09,0.07,0.06,0.04,0.03,0.02,0.01,0.00,0.00,0.00,1.57,95.70,1.75,0.99,2.74,0.016,54.838,1.761,96.573,34.977,0.573,-0.466,-0.250,-0.077,0.130,0.626,1.100,1.332,1.557,1.944,0.2599,0.3399,0.3971,0.4666,0.6480,0.9138,1.0552,1.1893,1.3808,0.626,0.627,0.718,0.048,1.019,0.626,0.627,0.705,0.002,0.161,0.709,0.648,0.690,1.399,1.015,0.263,0.773,0.585,1.817,1.348,3.807,22.723
2022-638-FA,T9_5,22-638FA_92,2022-08-10,yes,16:04:00,48.15066,-123.55083,Surface,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.07,0.20,0.52,1.11,2.17,4.08,6.69,9.83,12.77,14.28,13.62,10.97,7.55,4.66,2.71,1.52,0.82,0.43,0.23,0.15,0.14,0.14,0.15,0.14,0.16,0.20,0.26,0.31,0.34,0.36,0.35,0.35,0.32,0.29,0.27,0.23,0.21,0.19,0.17,0.16,0.14,0.12,0.11,0.08,0.07,0.05,0.03,0.01,0.00,0.00,0.31,94.00,3.88,1.81,5.69,0.003,24.228,2.140,51.857,16.513,0.055,0.800,1.070,1.276,1.500,1.967,2.463,2.744,3.104,5.060,0.0300,0.1163,0.1493,0.1813,0.2557,0.3535,0.4131,0.4765,0.5745,1.967,1.996,1.013,0.255,1.813,1.967,2.010,0.734,0.058,1.311,1.901,0.256,0.267,1.396,0.980,0.239,2.210,0.216,2.162,1.470,2.853,13.582
2022-638-FA,T10_5,22-638FA_93,2022-08-10,yes,16:20:00,48.150205,-123.54838,Surface,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.83,1.96,3.11,4.02,4.73,5.47,7.08,9.88,12.77,13.86,12.48,9.35,5.95,3.35,1.72,0.83,0.38,0.17,0.09,0.07,0.07,0.06,0.06,0.06,0.08,0.09,0.10,0.11,0.11,0.11,0.10,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.03,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,97.94,1.47,0.59,2.06,0.000,66.499,2.496,165.970,47.476,0.000,0.429,0.746,1.059,1.425,2.000,2.474,2.704,2.928,3.250,0.1051,0.1314,0.1535,0.1800,0.2501,0.3725,0.4800,0.5964,0.7426,2.000,1.921,0.839,-0.129,1.102,2.000,1.881,0.823,-0.144,-0.195,0.714,0.250,0.276,1.438,1.073,0.207,1.995,0.251,1.190,1.091,2.337,16.359
2022-638-FA,T11_5,22-638FA_94,2022-08-10,yes,16:30:00,48.149454,-123.54667,Surface,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.33,0.79,1.78,3.94,7.26,11.25,14.88,16.31,14.68,10.78,6.27,3.13,1.48,0.76,0.43,0.22,0.12,0.08,0.10,0.13,0.15,0.16,0.19,0.23,0.29,0.34,0.37,0.38,0.37,0.35,0.32,0.29,0.26,0.23,0.21,0.19,0.17,0.16,0.14,0.12,0.10,0.07,0.05,0.04,0.02,0.01,0.00,0.00,0.00,94.36,3.88,1.77,5.64,0.000,24.347,2.195,53.443,16.727,0.000,0.909,1.128,1.299,1.493,1.905,2.336,2.575,2.879,5.343,0.0246,0.1360,0.1679,0.1981,0.2671,0.3553,0.4064,0.4576,0.5325,1.905,1.926,0.991,0.301,2.156,1.905,1.937,0.638,0.050,1.916,2.476,0.267,0.277,1.339,0.987,0.244,2.162,0.223,2.048,1.431,3.212,14.950
2022-638-FA,T12_5,22-638FA_95,2022-08-10,no,16:44:00,48.149049,-123.545011,Surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-638-FA,T15_5,22-638FA_96,2022-08-11,yes,15:27:00,48.146407,-123.536338,Surface,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.00,1.20,0.74,0.62,0.56,0.39,0.43,0.37,0.44,0.78,1.39,2.52,4.07,6.24,9.16,11.83,13.16,12.37,9.97,7.00,4.42,2.58,1.46,0.80,0.45,0.26,0.20,0.19,0.19,0.19,0.21,0.26,0.33,0.39,0.42,0.43,0.42,0.40,0.36,0.33,0.30,0.25,0.22,0.20,0.18,0.17,0.16,0.13,0.11,0.08,0.07,0.05,0.03,0.01,0.00,0.00,3.08,89.95,5.01,1.96,6.97,0.034,17.962,2.557,45.933,12.913,0.442,0.105,1.004,1.342,1.642,2.171,2.706,3.013,3.422,6.029,0.0153,0.0933,0.1239,0.1533,0.2220,0.3204,0.3946,0.4986,0.9296,2.171,2.175,1.315,0.155,2.282,2.171,2.177,0.836,0.007,1.072,2.545,0.222,0.237,1.446,0.996,0.206,2.314,0.201,2.813,1.677,1.631,9.194
2022-638-FA,T15_5 duplicate,22-638FA_97,2022-08-11,yes,15:27:00,48.146407,-123.536338,Surface,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.42,0.36,0.42,0.33,0.23,0.48,0.45,0.85,1.49,2.67,4.28,6.47,9.28,12.04,13.42,12.69,10.30,7.32,4.65,2.71,1.53,0.85,0.47,0.28,0.21,0.19,0.19,0.18,0.20,0.24,0.30,0.34,0.36,0.37,0.36,0.34,0.31,0.28,0.25,0.22,0.19,0.17,0.16,0.15,0.14,0.11,0.09,0.07,0.05,0.04,0.02,0.01,0.00,0.00,1.22,92.47,4.63,1.68,6.31,0.013,19.965,2.759,55.078,14.654,0.194,0.688,1.124,1.402,1.676,2.187,2.711,3.002,3.375,5.199,0.0272,0.0964,0.1248,0.1528,0.2196,0.3130,0.3784,0.4588,0.6208,2.187,2.197,1.084,0.177,1.786,2.187,2.202,0.800,0.019,0.945,1.819,0.220,0.233,1.431,0.992,0.221,2.354,0.196,2.283,1.511,2.103,11.012
2022-638-FA,WP270,22-638FA_98,2022-08-10,yes,17:08:00,48.148074,-123.542315,Surface,0.00,0.00,0.00,0.00,0.00,4.66,0.00,0.00,3.87,2.11,0.30,0.32,0.98,0.54,1.17,2.15,3.89,4.10,5.72,7.21,8.75,9.89,10.46,10.05,8.50,6.07,3.55,1.67,0.73,0.36,0.21,0.13,0.08,0.05,0.04,0.05,0.06,0.06,0.07,0.08,0.10,0.13,0.15,0.16,0.17,0.16,0.16,0.14,0.13,0.12,0.10,0.09,0.09,0.08,0.08,0.07,0.06,0.05,0.03,0.02,0.02,0.01,0.00,0.00,0.00,12.24,85.24,1.70,0.82,2.52,0.144,50.062,2.071,103.682,33.761,4.846,-1.120,-1.827,-0.258,0.296,1.113,1.722,1.980,2.219,2.602,0.1647,0.2148,0.2534,0.3032,0.4624,0.8146,1.1958,3.5472,2.1735,1.113,0.945,1.124,-0.212,1.070,1.113,0.861,1.119,-0.225,-0.332,0.663,0.462,0.559,1.639,1.155,0.077,0.915,0.531,2.984,1.727,0.780,8.370
2022-638-FA,WP268,22-638FA_99,2022-08-10,yes,16:51:00,48.148744,-123.544556,Surface,0.00,0.00,0.00,0.00,0.00,9.07,5.65,2.82,3.53,3.39,7.57,9.56,11.10,10.25,12.51,11.47,8.01,1.36,0.77,0.29,0.13,0.13,0.17,0.22,0.29,0.31,0.27,0.19,0.13,0.08,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,52.69,46.69,0.43,0.19,0.62,1.128,109.043,2.247,245.053,75.463,85.149,-1.844,-2.708,-2.388,-1.724,-1.056,-0.508,-0.312,-0.156,0.011,0.9922,1.1138,1.2417,1.4221,2.0788,3.3031,5.2351,6.5362,3.5912,-1.056,-1.252,0.800,-0.067,0.626,-1.056,-1.350,1.038,-0.284,0.134,-0.106,2.079,2.363,1.524,1.087,0.173,-1.122,2.176,1.419,1.191,2.456,20.419
2022-638-FA,WP267,22-638FA_100,2022-08-10,yes,16:44:00,48.149049,-123.545011,Surface,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.33,0.89,2.04,3.86,6.82,10.96,14.81,16.44,14.90,11.06,6.74,3.53,1.68,0.80,0.41,0.22,0.13,0.11,0.12,0.12,0.12,0.14,0.17,0.23,0.26,0.29,0.30,0.29,0.28,0.25,0.23,0.21,0.18,0.16,0.15,0.14,0.13,0.12,0.10,0.08,0.06,0.04,0.03,0.02,0.00,0.00,0.00,0.00,95.34,3.25,1.41,4.66,0.000,29.359,2.303,67.616,20.471,0.000,1.130,1.372,1.555,1.751,2.161,2.587,2.815,3.073,3.788,0.0724,0.1189,0.1421,0.1664,0.2235,0.2972,0.3403,0.3862,0.4568,2.161,2.177,0.718,0.131,1.302,2.161,2.185,0.630,0.038,0.472,1.109,0.224,0.232,1.336,0.990,0.245,2.350,0.196,1.603,1.266,3.346,17.321
