datetime_utc,longitude,latitude,easting_m,northing_m,ortho_ht_m
2018-Jul-25 22:47:08.000,-123.5624518,48.1442876,296961.39,130825.21,1.13
2018-Jul-25 22:47:09.000,-123.5624511,48.1442824,296961.42,130824.63,1.14
2018-Jul-25 22:47:10.000,-123.5624490,48.1442779,296961.55,130824.12,1.16
2018-Jul-25 22:47:13.000,-123.5624503,48.1442733,296961.44,130823.62,1.13
2018-Jul-25 22:47:15.000,-123.5624540,48.1442691,296961.15,130823.16,1.15
2018-Jul-25 22:47:16.000,-123.5624570,48.1442649,296960.91,130822.70,1.19
2018-Jul-25 22:47:17.000,-123.5624591,48.1442602,296960.73,130822.19,1.13
2018-Jul-25 22:47:19.000,-123.5624607,48.1442550,296960.60,130821.61,1.15
2018-Jul-25 22:47:20.000,-123.5624617,48.1442505,296960.50,130821.11,1.12
2018-Jul-25 22:47:21.000,-123.5624625,48.1442459,296960.43,130820.60,1.06
2018-Jul-25 22:47:24.000,-123.5624639,48.1442362,296960.29,130819.53,1.03
2018-Jul-25 22:47:25.000,-123.5624642,48.1442313,296960.24,130818.99,1.08
2018-Jul-25 22:47:28.000,-123.5624642,48.1442216,296960.20,130817.91,0.97
2018-Jul-25 22:47:29.000,-123.5624639,48.1442168,296960.21,130817.38,1.04
2018-Jul-25 22:47:31.000,-123.5624626,48.1442121,296960.28,130816.85,1.06
2018-Jul-25 22:47:32.000,-123.5624609,48.1442073,296960.40,130816.31,1.01
2018-Jul-25 22:47:34.000,-123.5624582,48.1442026,296960.58,130815.79,0.98
2018-Jul-25 22:47:35.000,-123.5624550,48.1441982,296960.80,130815.29,0.95
2018-Jul-25 22:47:36.000,-123.5624511,48.1441940,296961.07,130814.81,0.94
2018-Jul-25 22:47:38.000,-123.5624472,48.1441899,296961.34,130814.34,0.94
2018-Jul-25 22:47:39.000,-123.5624432,48.1441862,296961.63,130813.92,0.92
2018-Jul-25 22:47:41.000,-123.5624384,48.1441823,296961.97,130813.47,0.87
2018-Jul-25 22:47:42.000,-123.5624338,48.1441787,296962.30,130813.06,0.87
2018-Jul-25 22:47:44.000,-123.5624288,48.1441755,296962.65,130812.69,0.84
2018-Jul-25 22:47:46.000,-123.5624233,48.1441724,296963.05,130812.33,0.82
2018-Jul-25 22:47:48.000,-123.5624173,48.1441694,296963.49,130811.98,0.74
2018-Jul-25 22:47:49.000,-123.5624118,48.1441662,296963.89,130811.62,0.77
2018-Jul-25 22:47:52.000,-123.5623993,48.1441608,296964.79,130810.99,0.72
2018-Jul-25 22:47:54.000,-123.5623932,48.1441584,296965.23,130810.70,0.64
2018-Jul-25 22:47:56.000,-123.5623873,48.1441551,296965.66,130810.32,0.64
2018-Jul-25 22:47:57.000,-123.5623836,48.1441511,296965.92,130809.86,0.69
2018-Jul-25 22:47:59.000,-123.5623747,48.1441507,296966.58,130809.80,0.70
2018-Jul-25 22:48:00.000,-123.5623662,48.1441509,296967.21,130809.79,0.69
2018-Jul-25 22:48:01.000,-123.5623591,48.1441511,296967.74,130809.80,0.65
2018-Jul-25 22:48:01.000,-123.5623514,48.1441520,296968.32,130809.88,0.67
2018-Jul-25 22:48:02.000,-123.5623432,48.1441527,296968.93,130809.93,0.70
2018-Jul-25 22:48:03.000,-123.5623330,48.1441550,296969.70,130810.16,0.82
2018-Jul-25 22:48:03.000,-123.5623246,48.1441564,296970.33,130810.29,0.72
2018-Jul-25 22:48:04.000,-123.5623142,48.1441592,296971.12,130810.58,0.95
2018-Jul-25 22:48:04.000,-123.5623039,48.1441629,296971.89,130810.96,0.97
2018-Jul-25 22:48:05.000,-123.5622941,48.1441655,296972.64,130811.23,0.95
2018-Jul-25 22:48:06.000,-123.5622838,48.1441695,296973.41,130811.64,1.02
2018-Jul-25 22:48:06.000,-123.5622736,48.1441738,296974.19,130812.09,1.10
2018-Jul-25 22:48:07.000,-123.5622641,48.1441788,296974.92,130812.63,1.08
2018-Jul-25 22:48:07.000,-123.5622554,48.1441837,296975.58,130813.15,1.15
2018-Jul-25 22:48:08.000,-123.5622479,48.1441890,296976.16,130813.71,1.15
2018-Jul-25 22:48:09.000,-123.5622404,48.1441934,296976.74,130814.19,1.22
2018-Jul-25 22:48:09.000,-123.5622325,48.1441971,296977.34,130814.58,1.08
2018-Jul-25 22:48:10.000,-123.5622250,48.1442013,296977.91,130815.02,1.11
2018-Jul-25 22:48:10.000,-123.5622167,48.1442047,296978.54,130815.38,1.09
2018-Jul-25 22:48:11.000,-123.5622087,48.1442079,296979.15,130815.71,1.10
2018-Jul-25 22:48:12.000,-123.5622010,48.1442106,296979.73,130815.99,1.07
2018-Jul-25 22:48:12.000,-123.5621934,48.1442131,296980.31,130816.25,1.13
2018-Jul-25 22:48:13.000,-123.5621877,48.1442162,296980.74,130816.57,1.20
2018-Jul-25 22:48:14.000,-123.5621856,48.1442205,296980.92,130817.05,1.21
2018-Jul-25 22:48:15.000,-123.5621846,48.1442249,296981.01,130817.54,1.18
2018-Jul-25 22:48:15.000,-123.5621810,48.1442289,296981.29,130817.97,1.16
2018-Jul-25 22:48:16.000,-123.5621784,48.1442336,296981.51,130818.49,1.15
2018-Jul-25 22:48:17.000,-123.5621746,48.1442374,296981.80,130818.90,1.13
2018-Jul-25 22:48:17.000,-123.5621695,48.1442413,296982.20,130819.32,1.12
2018-Jul-25 22:48:18.000,-123.5621649,48.1442458,296982.56,130819.81,1.16
2018-Jul-25 22:48:19.000,-123.5621611,48.1442499,296982.86,130820.25,1.26
2018-Jul-25 22:48:20.000,-123.5621578,48.1442549,296983.12,130820.80,1.29
2018-Jul-25 22:48:21.000,-123.5621539,48.1442595,296983.43,130821.30,1.28
2018-Jul-25 22:48:21.000,-123.5621506,48.1442645,296983.70,130821.85,1.35
2018-Jul-25 22:48:22.000,-123.5621476,48.1442699,296983.94,130822.44,1.29
2018-Jul-25 22:48:23.000,-123.5621456,48.1442742,296984.10,130822.92,1.30
2018-Jul-25 22:48:23.000,-123.5621439,48.1442788,296984.25,130823.42,1.29
2018-Jul-25 22:48:24.000,-123.5621424,48.1442834,296984.38,130823.92,1.27
2018-Jul-25 22:48:25.000,-123.5621406,48.1442880,296984.53,130824.44,1.28
