FACS/FAN I.D.,Sample ID,Sample Recovered,Date Collected,Time (GMT),Latitude (deg. N),Longitude (deg. E),Sample Type,Lab ID,Wt. percent in -2.00 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median Phi, Inman Mean Phi, Inman Sorting Phi, Inman Skew 16-84 Phi, Inman Skew 05-95 Phi, Inman Kurtosis Phi,Moment 1,Moment 2,Moment 3,Moment 4,
2016-608-FA,T15_4,Yes,2/16/2016,22:13:26,48.147008,-123.53615,Grab, 16-608FA_64,0,0,0,0,0,0.09,0.33,0.63,1.36,2.87,5.09,8.25,12.21,15.47,16.03,13.42,8.77,4.55,1.99,0.89,0.5,0.32,0.18,0.13,0.15,0.18,0.2,0.21,0.24,0.29,0.36,0.43,0.48,0.49,0.48,0.46,0.41,0.37,0.33,0.28,0.25,0.22,0.2,0.18,0.17,0.15,0.13,0.1,0.08,0.05,0.03,0.01,0,0,0,92.75,5.08,2.17,7.25,0.99,1.24,1.44,1.64,2.06,2.49,2.74,3.12,6.43,2.06,2.08,1.15,0.32,2.65,2.06,2.09,0.65,0.04,2.54,3.19,2.36,2.38,2.9,12.34,
2016-608-FA,T16_4,Yes,2/16/2016,22:18:35,48.143239,-123.531162,Grab, 16-608FA_65,0,0.73,0,0,0,0.07,0.42,0.87,1.81,3.5,5.8,8.96,12.89,15.8,15.99,13.18,8.64,4.68,2.2,0.99,0.5,0.29,0.17,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.13,0.15,0.16,0.16,0.16,0.15,0.13,0.11,0.1,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.04,0.03,0.03,0.02,0.01,0,0,0,0.73,96.58,1.99,0.69,2.68,0.85,1.13,1.34,1.56,1.99,2.41,2.61,2.82,3.19,1.99,1.98,0.67,0.00,1.14,1.99,1.98,0.64,-0.02,0.05,0.84,2.06,1.17,3.03,20.72,
2016-608-FA,T16_3,Yes,2/16/2016,22:22:17,48.145444,-123.531666,Grab, 16-608FA_66,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,-3.9,-3.8,-3.68,-3.5,-3,-2.5,-2.32,-2.2,-2.1,-3.00,-3.00,0.61,0.00,0.74,-3,-3,0.68,0,0,0.32,-2.13,0,0,0,
2016-608-FA,T16_3.5,Yes,2/16/2016,22:26:21,48.144407,-123.53101,Grab, 16-608FA_67,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,-3.9,-3.8,-3.68,-3.5,-3,-2.5,-2.32,-2.2,-2.1,-3.00,-3.00,0.61,0.00,0.74,-3,-3,0.68,0,0,0.32,-2.13,0,0,0,
2016-608-FA,T16_2,Yes,2/16/2016,22:31:05,48.147831,-123.530076,Grab, 16-608FA_68,98.59,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,-3.9,-3.8,-3.68,-3.49,-2.99,-2.48,-2.3,-2.17,-2.07,-2.99,-2.99,0.62,0.00,0.74,-2.99,-2.99,0.69,0,0,0.32,-2.11,0.01,8.25,69.04,
2016-608-FA,T13_1,Yes,2/16/2016,22:59:57,48.153344,-123.538219,Grab, 16-608FA_69,0.89,0.92,0,0,0.03,0.49,1.73,3.76,7.05,12.12,16.6,18.13,15.55,10.31,5.23,2.04,0.77,0.45,0.31,0.18,0.1,0.09,0.08,0.08,0.09,0.11,0.12,0.12,0.13,0.15,0.17,0.19,0.2,0.21,0.2,0.19,0.17,0.15,0.13,0.11,0.1,0.09,0.09,0.08,0.08,0.06,0.05,0.03,0.03,0.02,0.01,0,0,0,1.82,94.95,2.35,0.89,3.24,0.34,0.6,0.78,0.97,1.34,1.71,1.91,2.11,2.54,1.34,1.35,0.62,0.04,1.21,1.34,1.35,0.57,0,0.17,0.95,1.46,1.58,3.26,20.5,
2016-608-FA,T13_2,Yes,2/16/2016,23:05:29,48.150775,-123.540062,Grab, 16-608FA_70,11.39,0,0,0,0,0,0.06,0.29,0.86,2.15,4.42,7.92,12.06,14.99,15.16,12.41,8.02,4.18,1.84,0.78,0.4,0.23,0.14,0.1,0.09,0.09,0.09,0.09,0.1,0.11,0.14,0.15,0.16,0.17,0.16,0.16,0.14,0.13,0.11,0.1,0.09,0.08,0.08,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0,0,0,11.39,85.78,2.01,0.82,2.82,-3.12,-2.24,1.09,1.45,1.94,2.37,2.57,2.77,3.14,1.94,1.87,1.32,-0.38,2.80,1.94,1.83,0.74,-0.15,-2.61,3.24,1.67,2.91,-0.03,7.48,
2016-608-FA,T13_3,Yes,2/16/2016,23:10:41,48.149412,-123.541009,Grab, 16-608FA_71,0,0,0,0,0,0.01,0.09,0.22,0.5,0.99,1.69,3.34,6.92,11.9,16.22,17.44,14.72,9.66,5.18,2.48,1.26,0.71,0.4,0.23,0.17,0.17,0.17,0.17,0.19,0.23,0.29,0.36,0.4,0.42,0.42,0.4,0.36,0.33,0.29,0.25,0.22,0.2,0.18,0.17,0.16,0.14,0.12,0.09,0.07,0.05,0.03,0.01,0,0,0,93.31,4.73,1.96,6.69,1.39,1.64,1.81,1.99,2.37,2.78,3.01,3.36,5.96,2.37,2.40,0.99,0.32,2.39,2.37,2.41,0.6,0.07,2.16,2.79,2.63,1.94,3.07,14.08,
2016-608-FA,T13_4,Yes,2/16/2016,23:12:51,48.14887,-123.541542,Grab, 16-608FA_72,0,0,0,0,0,0.01,0.05,0.13,0.38,0.77,0.93,1.23,2.67,5.49,9.1,12.37,14.19,13.57,11.34,8.37,5.52,3.22,1.7,0.9,0.58,0.45,0.37,0.32,0.3,0.32,0.38,0.43,0.47,0.48,0.47,0.44,0.4,0.36,0.32,0.27,0.25,0.23,0.22,0.21,0.2,0.17,0.14,0.1,0.08,0.06,0.03,0.01,0,0,0,89.35,8.36,2.29,10.65,1.67,1.95,2.14,2.35,2.8,3.33,3.65,4.09,6.45,2.80,2.86,1.10,0.32,1.99,2.8,2.89,0.76,0.12,1.66,2.15,3.07,2.05,2.52,11.03,
2016-608-FA,T14.5X,Yes,2/16/2016,23:16:47,48.147586,-123.536659,Grab, 16-608FA_73,0,0,0,0,0,0.11,0.84,1.95,3.56,6.35,10.15,14.21,16.63,16.15,12.57,7.74,3.55,1.32,0.51,0.29,0.19,0.11,0.07,0.06,0.07,0.08,0.09,0.1,0.11,0.14,0.17,0.21,0.24,0.26,0.25,0.24,0.22,0.2,0.18,0.16,0.14,0.13,0.11,0.11,0.1,0.08,0.07,0.05,0.04,0.03,0.02,0,0,0,0,96.25,2.53,1.22,3.75,0.67,0.91,1.09,1.29,1.7,2.1,2.3,2.49,2.97,1.70,1.70,0.65,0.05,1.17,1.7,1.69,0.6,-0.01,0.2,0.91,1.86,1.6,3.72,20.42,
2016-608-FA,T15.5X,Yes,2/16/2016,23:20:38,48.145237,-123.533376,Grab, 16-608FA_74,0,0.54,0,0,0.01,0.44,1.64,3.2,5.3,8.34,11.57,14.3,15.37,14.1,10.79,6.57,3.05,1.17,0.44,0.23,0.15,0.11,0.07,0.06,0.07,0.08,0.09,0.1,0.1,0.12,0.14,0.15,0.17,0.17,0.17,0.16,0.14,0.12,0.11,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.05,0.03,0.03,0.02,0.01,0,0,0,0.54,96.78,1.92,0.76,2.68,0.45,0.71,0.91,1.13,1.58,2,2.21,2.42,2.73,1.58,1.57,0.67,-0.01,1.07,1.58,1.56,0.65,-0.03,0.02,0.75,1.68,1.3,3.5,22.29, 
2016-608-FA,T16.5X,Yes,2/16/2016,23:26:13,48.140392,-123.528059,Grab, 16-608FA_75,1.06,0,0,0.02,0.14,0.36,0.7,1.1,1.65,2.42,3.43,5.3,8.53,12.46,15.31,15.5,12.55,7.98,4.09,1.82,0.88,0.52,0.31,0.21,0.18,0.15,0.11,0.08,0.1,0.15,0.19,0.22,0.24,0.25,0.24,0.23,0.2,0.18,0.16,0.14,0.12,0.12,0.11,0.11,0.1,0.09,0.07,0.05,0.04,0.03,0.02,0,0,0,1.06,94.74,3.04,1.16,4.2,0.75,1.2,1.49,1.76,2.21,2.64,2.86,3.09,3.66,2.21,2.19,0.78,-0.03,1.35,2.21,2.17,0.68,-0.06,-0.01,1.14,2.28,1.72,2.14,14.8, 
2016-608-FA,T17X,Yes,2/16/2016,23:29:58,48.138059,-123.525031,Grab, 16-608FA_76,0,6.07,1,1.16,1.44,1.78,2.08,2.22,2.28,2.32,2.3,2.82,4.7,7.75,10.77,12.4,11.77,9.27,6.41,3.95,2.19,1.12,0.56,0.31,0.23,0.2,0.18,0.16,0.15,0.15,0.17,0.18,0.19,0.19,0.18,0.17,0.14,0.13,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.06,0.04,0.03,0.02,0.01,0,0,0,6.07,89.72,3.28,0.93,4.21,-0.86,-0.2,0.53,1.46,2.28,2.81,3.07,3.34,3.82,2.28,1.96,1.34,-0.36,1.43,2.28,1.8,1.27,-0.38,-0.63,0.84,2.07,2.52,0.68,7.16, 
2016-608-FA,T17.5X,Yes,2/16/2016,23:33:36,48.136437,-123.522509,Grab, 16-608FA_77,21.67,4.81,0,0.01,0.2,0.51,0.72,0.67,0.69,0.94,0.9,0.87,1.63,3.2,5.52,8.23,10.39,10.53,8.95,6.48,3.97,2.08,0.98,0.47,0.3,0.22,0.2,0.19,0.19,0.21,0.26,0.3,0.34,0.35,0.34,0.33,0.3,0.27,0.24,0.21,0.19,0.18,0.17,0.16,0.16,0.14,0.11,0.08,0.06,0.05,0.03,0.01,0,0,26.48,66.49,5.26,1.77,7.03,-3.54,-3.08,-2.52,-0.78,2.49,3.1,3.39,3.69,5.07,2.49,1.12,2.78,-0.55,0.91,2.49,0.43,2.95,-0.7,-0.58,0.46,1.69,6.49,0.04,3.23, 
2016-608-FA,T18X,Yes,2/16/2016,23:37:34,48.134646,-123.518291,Grab, 16-608FA_78,0,4.16,0.57,0.57,0.62,0.67,0.72,0.69,0.72,0.85,0.58,0.27,0.4,0.66,1.06,2.48,6.02,11.02,15.29,16.23,13.22,8.2,3.96,1.67,0.84,0.55,0.43,0.36,0.34,0.37,0.44,0.5,0.53,0.53,0.51,0.48,0.43,0.38,0.33,0.28,0.25,0.24,0.23,0.23,0.24,0.23,0.22,0.18,0.13,0.08,0.04,0.01,0,0,4.16,80.82,12.32,2.7,15.01,-0.63,1.18,2.56,2.86,3.29,3.72,3.97,4.4,6.77,3.29,3.27,1.47,-0.05,3.54,3.29,3.26,0.7,-0.04,-0.32,4.25,3.26,3.25,0.52,6.76, 
2016-608-FA,UWLM-F,Yes,2/16/2016,23:42:44,48.140372,-123.52289,Grab, 16-608FA_79,94.08,3.92,0.45,0.27,0.17,0.14,0.13,0.12,0.11,0.1,0.08,0.06,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.81,0.14,0.05,0.19,-3.89,-3.79,-3.66,-3.47,-2.94,-2.41,-2.21,-2.09,-0.62,-2.94,-2.94,0.86,0.21,1.26,-2.94,-2.94,0.72,0,0.94,1.26,-2.03,0.3,11.21,175.93, 
2016-608-FA,T18.5X,Yes,2/16/2016,23:49:12,48.13352,-123.512586,Grab, 16-608FA_80,47.13,24.92,7.38,4.28,2.5,1.97,1.92,1.61,1.4,1.41,1.08,0.88,0.68,0.42,0.31,0.27,0.21,0.19,0.14,0.09,0.06,0.05,0.05,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0,0,0,0,72.04,26.87,0.73,0.35,1.08,-3.79,-3.58,-3.32,-2.94,-0.62,-0.9,-0.47,0.24,1.11,-0.62,-1.47,1.45,-0.60,0.99,-0.62,-1.9,1.42,-0.9,-0.51,0.72,-1.2,1.86,3.39,21.24, 
2016-608-FA,T19X,Yes,2/16/2016,23:54:03,48.132821,-123.506392,Grab, 16-608FA_81,6.33,1.31,0.01,0.16,0.49,0.59,0.46,0.25,0.26,0.73,0.5,0.3,0.74,1,1.54,3.77,8.37,13.35,16.16,14.86,10.4,5.5,2.33,1,0.6,0.46,0.36,0.31,0.3,0.34,0.42,0.5,0.55,0.57,0.57,0.54,0.5,0.45,0.4,0.34,0.31,0.28,0.26,0.26,0.26,0.24,0.24,0.2,0.15,0.1,0.06,0.01,0,0,7.64,79.44,9.81,3.11,12.92,-2.42,0.82,2.37,2.72,3.16,3.59,3.86,4.39,7.07,3.16,3.13,1.81,-0.12,4.45,3.16,3.11,0.74,-0.06,-1.12,5.39,3.06,4.41,0.04,6, 
2016-608-FA,T19.5X,Yes,2/16/2016,23:59:12,48.132903,-123.498725,Grab, 16-608FA_82,1.27,4.97,0.16,0.12,0.11,0.16,0.25,0.29,0.35,0.54,0.86,1.31,2.1,3.16,5.11,8.61,13.06,15.5,14.49,10.49,5.96,2.69,1.08,0.5,0.33,0.26,0.23,0.22,0.23,0.27,0.34,0.4,0.44,0.45,0.44,0.42,0.37,0.34,0.3,0.26,0.23,0.21,0.2,0.18,0.17,0.15,0.13,0.1,0.08,0.06,0.03,0.01,0,0,6.23,85.33,6.32,2.12,8.43,-0.81,1.44,2.02,2.39,2.88,3.31,3.54,3.85,6.23,2.88,2.81,1.45,-0.09,3.14,2.88,2.78,0.76,-0.13,-0.22,3.62,2.84,3.05,0.61,7.6, 
2016-608-FA,T20X,Yes,2/17/2016,0:04:19,48.133007,-123.489024,Grab, 16-608FA_83,0,0,0,0,0,0,0,0.01,0.12,0.63,0.72,0.89,2.39,5.29,9.44,14.44,18.32,17.75,12.94,7.08,2.89,1.02,0.48,0.31,0.21,0.17,0.16,0.17,0.19,0.24,0.3,0.34,0.35,0.36,0.36,0.34,0.31,0.28,0.24,0.2,0.17,0.15,0.13,0.12,0.11,0.1,0.09,0.08,0.06,0.04,0.03,0.01,0,0,0,93.92,4.55,1.53,6.08,1.77,2,2.18,2.36,2.72,3.1,3.29,3.5,4.87,2.72,2.73,0.75,0.20,1.72,2.72,2.73,0.55,0.01,1.07,1.79,2.9,1.47,3.24,16.46, 
2016-608-FA,T20.5X,Yes,2/17/2016,0:07:51,48.133473,-123.480677,Grab, 16-608FA_84,0,0.24,0,0,0,0,0,0.05,0.26,0.57,0.62,1.06,3.12,7.14,12.28,16.69,18.42,15.83,10.75,5.61,2.29,0.83,0.4,0.28,0.18,0.13,0.11,0.11,0.13,0.15,0.19,0.22,0.23,0.24,0.23,0.22,0.2,0.18,0.16,0.13,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.05,0.04,0.03,0.02,0,0,0,0.24,95.5,3.23,1.03,4.26,1.72,1.93,2.07,2.25,2.62,2.98,3.18,3.38,3.78,2.61,2.62,0.59,0.08,1.15,2.61,2.63,0.55,0.02,0.24,0.86,2.73,1.16,3.33,20.38, 
2016-608-FA,UWLM-G,Yes,2/17/2016,0:12:17,48.134675,-123.476625,Grab, 16-608FA_85,0,0,0,0,0,0,0,0,0,0,0.2,0.44,0.28,0.73,2.89,7.95,15.57,20.64,19.63,13.52,6.69,2.42,0.89,0.58,0.49,0.39,0.33,0.31,0.3,0.31,0.35,0.4,0.42,0.43,0.42,0.4,0.37,0.34,0.3,0.26,0.24,0.21,0.2,0.19,0.19,0.17,0.17,0.14,0.1,0.06,0.04,0.01,0,0,0,90.97,6.74,2.29,9.03,2.27,2.46,2.57,2.72,3.02,3.37,3.58,3.9,6.3,3.02,3.06,0.86,0.37,2.51,3.02,3.08,0.5,0.12,2.53,3.01,3.29,1.64,3.22,14.82, 
2016-608-FA,T21X,Yes,2/17/2016,0:17:22,48.134362,-123.473049,Grab, 16-608FA_86,0,0,0,0,0,0,0,0,0,0,0.18,0.62,1.45,4.33,9.5,15.68,19.86,18.63,13.22,6.93,2.76,1.03,0.57,0.4,0.27,0.19,0.16,0.16,0.16,0.18,0.23,0.27,0.3,0.31,0.31,0.29,0.26,0.24,0.21,0.18,0.16,0.15,0.14,0.13,0.12,0.11,0.09,0.07,0.06,0.04,0.02,0.01,0,0,0,94.2,4.31,1.49,5.8,1.96,2.12,2.25,2.41,2.73,3.09,3.27,3.48,4.39,2.73,2.75,0.62,0.21,1.47,2.73,2.76,0.51,0.05,0.86,1.39,2.93,1.31,3.64,19.27, 
2016-608-FA,TW1_2,No,2/16/2016,17:50:42,48.140648,-123.578517,Grab,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2016-608-FA,TW1_5,No,2/16/2016,18:08:28,48.139823,-123.577368,Grab,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2016-608-FA,TW2_A,No,2/16/2016,18:39:00,48.144478,-123.577171,Grab,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2016-608-FA,TW2_B,No,2/16/2016,18:45:54,48.145591,-123.579261,Grab,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2016-608-FA,TW3_D,No,2/16/2016,18:52:29,48.148631,-123.576441,Grab,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2016-608-FA,TW3_C,No,2/16/2016,18:58:25,48.147198,-123.574649,Grab,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2016-608-FA,TW3_B,No,2/16/2016,19:02:07,48.147139,-123.573578,Grab,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2016-608-FA,TW3_A,No,2/16/2016,19:05:40,48.146702,-123.573244,Grab,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2016-608-FA,TW3_0,No,2/16/2016,19:09:27,48.146279,-123.572159,Grab,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2016-608-FA,T0_B,No,2/16/2016,19:40:43,48.14901,-123.57246,Grab,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2016-608-FA,T4_A,No,2/16/2016,20:31:30,48.153697,-123.562966,Grab,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
